locus_name	description	CAZYName
gene_13601	nicotinamideribosidekinase1	NA
gene_13602	U4/U6.U5tri-snRNP-associatedproteinsnu66	NA
gene_13604	hypotheticalprotein	NA
gene_13603	expressedprotein	NA
gene_13609	Proteinofunknownfunction(DUF974)-domaincontainingprotein	NA
gene_13610	expressedprotein	NA
gene_13623	cytochromecoxidaseassemblyproteinCtaG/Cox11	NA
gene_13627	expressedprotein	NA
gene_1521	hypotheticalprotein	NA
gene_13629	hypotheticalprotein	NA
gene_13631	hypotheticalprotein	NA
gene_13632	expressedprotein	NA
gene_13633	YggSfamilypyridoxalphosphateenzyme	NA
gene_13634	AdaptinNterminalregion-domaincontainingprotein	NA
gene_13636	S-adenosyl-L-methionine-dependentmethyltransferase	NA
gene_13640	retinoldehydrogenase	GH5_15
gene_13639	Domainofunknownfunction(DUF3425)-domaincontainingprotein	NA
gene_13644	expressedprotein	NA
gene_1523	expressedprotein	NA
gene_13645	phosphoesterase	NA
gene_13647	Necrosisinducingprotein(NPP1)-domaincontainingprotein	NA
gene_1524	guaninenucleotide-bindingproteinalpha-3subunit	NA
gene_1525	expressedprotein	NA
gene_13656	Skp1familyprotein	NA
gene_13658	Alpha/Betahydrolasefold	NA
gene_13657	lariatdebranchingenzyme	NA
gene_13661	expressedprotein	NA
gene_13663	arginineN-methyltransferaseskb1	NA
gene_13666	expressedprotein	NA
gene_13667	expressedprotein	NA
gene_13672	Telomererepeatbindingfactor(TRF)-domaincontainingprotein	NA
gene_13678	pyridoxaminephosphateoxidasefamilyprotein	NA
gene_13686	expressedprotein	NA
gene_13684	hypotheticalprotein	NA
gene_13688	expressedprotein	NA
gene_13689	hypotheticalprotein	NA
gene_13690	celldivisionproteaseftsH	GT4
gene_13692	zincfingerproteinzpr1	NA
gene_13695	Originrecognitioncomplex%2Csubunit6	NA
gene_13696	3-alpha--hydroxysteroiddehydrogenase	NA
gene_13697	hypotheticalprotein	NA
gene_13709	DENNdomain-containingprotein	NA
gene_13715	UBAdomain-containingprotein	NA
gene_1527	expressedprotein	NA
gene_13728	hypotheticalprotein	NA
gene_13731	conidiophoredevelopmentproteinhymA	NA
gene_13730	hypotheticalprotein	NA
gene_1529	Mitogen-activatedproteinkinaseHOG1	GH28
gene_1528	expressedprotein	NA
gene_1532	hypotheticalprotein	NA
gene_1533	ATP-dependentproteaseLa	NA
gene_1539	expressedprotein	NA
gene_1542	phosphatidylinositol4-kinaseLSB6	NA
gene_1545	Spc97/Spc98familyprotein	NA
gene_1550	hypotheticalprotein	NA
gene_1552	hypotheticalprotein	NA
gene_1555	orotatephosphoribosyltransferase	GH47
gene_1559	expressedprotein	NA
gene_1560	expressedprotein	NA
gene_1563	expressedprotein	NA
gene_86	Domainofunknownfunction(DUF4396)-domaincontainingprotein	NA
gene_1564	LASseventeen-bindingprotein	NA
gene_85	TAP-likeprotein-domaincontainingprotein	NA
gene_1568	YeeE/YedEfamilyprotein	NA
gene_1578	hypotheticalprotein	NA
gene_1581	expressedprotein	NA
gene_1587	expressedprotein	NA
gene_1588	Domainofunknownfunction(DUF1708)-domaincontainingprotein	NA
gene_1590	expressedprotein	NA
gene_1591	WDrepeat-containingprotein	NA
gene_1593	expressedprotein	NA
gene_1596	hypotheticalprotein	NA
gene_1600	hypotheticalprotein	NA
gene_1603	S-adenosyl-L-methionine-dependentmethyltransferase	NA
gene_1606	pisatindemethylase	GH27
gene_1609	fungal-specifictranscriptionfactordomain-containingprotein	NA
gene_1610	majorfacilitatorsuperfamilytransporter	NA
gene_1611	NAD(P)H-dependentD-xylosereductase	NA
gene_1614	TranscriptioninitiationfactorIID%2C18kDsubunit-domaincontainingprotein	NA
gene_1615	WDdomain-containingprotein	NA
gene_1626	cytochromec1	NA
gene_1627	hypotheticalprotein	NA
gene_1630	FYVEzincfinger-domaincontainingprotein	NA
gene_1631	rarelipoproteinA	CBM63
gene_1633	phenylacetonemonooxygenase	NA
gene_1632	tricalbin-1	NA
gene_1634	hypotheticalprotein	NA
gene_1639	SNF2familyN-terminaldomain-domaincontainingprotein	NA
gene_1640	mixed-linkedglucanase	GH16_1
gene_93	hypotheticalprotein	NA
gene_1649	FMN-dependentdehydrogenase	NA
gene_1657	60SribosomalproteinL35	NA
gene_1659	ATP10protein	NA
gene_1660	2-oxoaciddehydrogenaseacyltransferase	NA
gene_98	ATPadenylyltransferase	NA
gene_1672	hypotheticalprotein	NA
gene_1673	DNAreplicationcomplexGINSproteinPSF1	NA
gene_1674	sulfatetransporterfamilyprotein	NA
gene_1678	kinesin-II85kDasubunit	NA
gene_1683	Domainofunknownfunction(DUF3425)-domaincontainingprotein	NA
gene_1687	transcriptioninitiationfactorTFIIDsubunit7	NA
gene_100	Inositolphospholipidsynthesisandfat-storage-inducingTM-domaincontainingprotein	NA
gene_1698	expressedprotein	NA
gene_1701	CORDandCSdomain-containingprotein	NA
gene_1702	glutaredoxindomain-containingprotein	NA
gene_1707	hypotheticalprotein	NA
gene_1709	sucrosetransporter	NA
gene_1708	ATPphosphoribosyltransferase	NA
gene_1713	Cullinfamilyprotein	NA
gene_1715	expressedprotein	NA
gene_1716	expressedprotein	NA
gene_1717	cytochromeP450	NA
gene_1719	expressedprotein	NA
gene_1720	expressedprotein	NA
gene_1727	Velvetfactor-domaincontainingprotein	NA
gene_1734	hypotheticalprotein	NA
gene_1737	choriontranscriptionfactorCf2	NA
gene_1740	WSCdomain-containingprotein	AA5_1
gene_1745	hypotheticalprotein	NA
gene_1746	RING-1likeprotein	NA
gene_1749	peroxisomalcoenzymeAdiphosphatase	NA
gene_1752	hypotheticalprotein	NA
gene_1756	hypotheticalprotein	NA
gene_1757	transmembraneprotein	NA
gene_1760	lipolyticenzyme	CE15
gene_1761	expressedprotein	NA
gene_1762	Zincfingerprotein-domaincontainingprotein	NA
gene_1763	expressedprotein	NA
gene_1764	expressedprotein	NA
gene_1770	patatin-likephospholipase	NA
gene_1772	Mob1/phocein	NA
gene_1775	expressedprotein	NA
gene_1774	bZIPtranscriptionfactor	NA
gene_108	NADP-dependentalcoholdehydrogenase	NA
gene_1778	Thocomplexsubunit7-domaincontainingprotein	NA
gene_1780	double-strand-breakrepairproteinrad21	NA
gene_1781	calcium-transportingATPase	NA
gene_1782	Ankyrinrepeat-containingdomainprotein	NA
gene_1790	NAD-dependentepimerase/dehydratasefamilyprotein	NA
gene_1789	expressedprotein	NA
gene_1799	expressedprotein	NA
gene_109	methionyl-tRNAsynthetase	GH55_2
gene_1798	sphingolipidlongchainbase-responsiveproteinPIL1	NA
gene_1800	hypotheticalprotein	NA
gene_1802	sodium/calciumexchangerprotein	NA
gene_1804	expressedprotein	NA
gene_1810	expressedprotein	NA
gene_1812	hypotheticalprotein	NA
gene_1814	Acyltransferasefamily-domaincontainingprotein	NA
gene_1816	hypotheticalprotein	NA
gene_1821	hypotheticalprotein	NA
gene_1822	expressedprotein	NA
gene_1823	expressedprotein	NA
gene_1824	hypotheticalprotein	NA
gene_1820	tatpathwaysignalsequence	NA
gene_1825	ran-bindingprotein	NA
gene_1826	INO80complex%2CsubunitIes4	NA
gene_1827	expressedprotein	NA
gene_1832	hypotheticalprotein	NA
gene_1839	hypotheticalprotein	NA
gene_1841	Uncharacterisedconservedprotein(DUF2373)-domaincontainingprotein	NA
gene_1842	phytanoyl-CoAdioxygenasefamilyprotein	AA3_2
gene_1845	mediatorofRNApolymeraseIItranscriptionsubunit14	NA
gene_1846	hypotheticalprotein	NA
gene_1848	family20glycosylhydrolase	GH20
gene_1850	aromaticaminoacidaminotransferase	NA
gene_1851	family16glycosylhydrolase	GH16_18
gene_118	calpainfamilycysteineprotease	NA
gene_1855	ubiquitin-conjugatingenzyme	NA
gene_1857	hypotheticalprotein	NA
gene_1859	expressedprotein	NA
gene_1861	hypotheticalprotein	GT21
gene_1862	C6transcriptionfactorRegA	NA
gene_122	RTA1likeprotein-domaincontainingprotein	NA
gene_1864	benzodiazepinereceptorfamilyprotein	NA
gene_126	Fungalspecifictranscriptionfactordomain-domaincontainingprotein	NA
gene_1867	hypotheticalprotein	NA
gene_1875	S-adenosyl-L-methionine-dependentmethyltransferase	NA
gene_1876	NCS1nucleosidetransporter	NA
gene_1879	ThiFfamilyprotein	NA
gene_1880	expressedprotein	NA
gene_128	expressedprotein	NA
gene_1889	ribosomebiogenesisproteinBMS1	NA
gene_1895	expressedprotein	NA
gene_1894	hypotheticalprotein	NA
gene_1901	Pectinlyasefold/virulencefactor	PL9_3
gene_1903	expressedprotein	NA
gene_130	hypotheticalprotein	NA
gene_1908	receptorexpression-enhancingprotein	NA
gene_1909	oligo-1%2C6-glucosidase	GH13_40
gene_1911	expressedprotein	NA
gene_1912	hypotheticalprotein	NA
gene_1915	FerricreductaseNADbindingdomain-domaincontainingprotein	NA
gene_1917	eukaryotictranslationinitiationfactor3subunitI	NA
gene_1918	expressedprotein	NA
gene_1926	WDrepeat-containingprotein	NA
gene_1928	Maf1regulator-domaincontainingprotein	NA
gene_1929	clathrinadaptorcomplexsmallchain	GT15
gene_1930	glutamate-cysteineligasemodifiersubunit	NA
gene_1934	hypotheticalprotein	NA
gene_135	histone-lysineN-methyltransferaseSET9	NA
gene_1940	Non-repetitive/WGA-negativenucleoporinC-terminal-domaincontainingprotein	NA
gene_1945	SWR1-complexprotein	NA
gene_1946	expressedprotein	NA
gene_1949	expressedprotein	NA
gene_1955	R3Hdomain-containingprotein	NA
gene_1961	osmosensinghistidineproteinkinaseSLN1	GH3
gene_1962	hypotheticalprotein	NA
gene_1967	expressedprotein	NA
gene_1968	hypotheticalprotein	NA
gene_1971	PredictedAdoMet-dependentmethyltransferase-domaincontainingprotein	NA
gene_1970	voltage-dependentpotassiumchannelbetasubunit	NA
gene_1974	hypotheticalprotein	NA
gene_139	high-affinitynicotinicacidtransporter	NA
gene_1976	expressedprotein	NA
gene_1978	hsp90-likeprotein	NA
gene_1981	PHdomain-containingprotein	NA
gene_1987	expressedprotein	NA
gene_1988	expressedprotein	NA
gene_1989	C6zincfingerprotein	NA
gene_1990	hypotheticalprotein	NA
gene_143	hypotheticalprotein	NA
gene_1991	DNAreplicationcomplexGINSproteinSLD5	NA
gene_1992	expressedprotein	NA
gene_1995	Per1-like-domaincontainingprotein	NA
gene_1997	phosphoacetylglucosaminemutase	NA
gene_1999	hypotheticalprotein	NA
gene_2000	expressedprotein	NA
gene_2002	hypotheticalprotein	NA
gene_2009	expressedprotein	NA
gene_2012	expressedprotein	NA
gene_2007	expressedprotein	NA
gene_2011	hypotheticalprotein	NA
gene_148	Putativephosphataseregulatorysubunit-domaincontainingprotein	CBM21
gene_2013	expressedprotein	NA
gene_2014	alternativeoxidase	NA
gene_2015	transcriptionalregulatorprz1	NA
gene_12145	expressedprotein	NA
gene_3019	expressedprotein	NA
gene_8357	hypotheticalprotein	NA
gene_3645	hypotheticalprotein	NA
gene_2019	expressedprotein	NA
gene_2021	Eukaryotictranslationinitiationfactor3subunitJ	NA
gene_2900	CytochromeP450	NA
gene_8014	Ankyrinrepeat-containingdomainprotein	NA
gene_149	Heterokaryonincompatibilityprotein(HET)-domaincontainingprotein	NA
gene_2028	metallopeptidasefamilyM24	NA
gene_151	cyclin-U2-2	NA
gene_2027	Helix-loop-helixDNA-bindingdomain-domaincontainingprotein	NA
gene_150	hypotheticalprotein	NA
gene_2029	Dfp1/Him1	NA
gene_10332	hypotheticalprotein	NA
gene_8782	HhH-GPDsuperfamilybaseexcisionDNArepairprotein	NA
gene_2043	expressedprotein	NA
gene_2042	expressedprotein	NA
gene_2041	dihydrodipicolinatesynthase	NA
gene_2047	hypotheticalprotein	NA
gene_2046	allergenraspf9-likeprotein	GH16_18
gene_2048	cinnamylalcoholdehydrogenase	NA
gene_2899	Cupredoxin	NA
gene_2050	Phospholipase/carboxylesterase	NA
gene_2810	Heterokaryonincompatibilityprotein(HET)-domaincontainingprotein	NA
gene_2051	expressedprotein	NA
gene_3007	hypotheticalprotein	NA
gene_2055	DASHcomplexsubunitDuo1-domaincontainingprotein	NA
gene_2054	RibonucleaseH2%2CsubunitB	NA
gene_2056	hypotheticalprotein	NA
gene_2057	expressedprotein	NA
gene_2972	Cupredoxin	NA
gene_1383	ERV/ALRsulfhydryloxidasedomain-containingprotein	GT64
gene_2060	DHS-likeNAD/FAD-bindingdomain-containingprotein	NA
gene_12173	SMAD/FHAdomain-containingprotein	NA
gene_2062	branched-chainaminoacidaminotransferase	GH47
gene_8140	Glycosidehydrolase	GH18
gene_2070	myo-inositol2-dehydrogenase	AA1
gene_2071	Fungalspecifictranscriptionfactordomain-domaincontainingprotein	NA
gene_2902	hypotheticalprotein	NA
gene_2079	hypotheticalprotein	NA
gene_2085	putativenicotinamidemononucleotidepermease	NA
gene_2083	expressedprotein	NA
gene_2081	CytochromeP450	NA
gene_3305	family61glycosylhydrolase	AA9
gene_2091	hypotheticalprotein	NA
gene_10001	expressedprotein	NA
gene_2092	Alteredinheritanceofmitochondriaprotein21	NA
gene_2095	hypotheticalprotein	NA
gene_2096	myo-inositol-1-phosphatesynthase	NA
gene_2966	expressedprotein	NA
gene_2099	Proteinofunknownfunction(DUF3405)-domaincontainingprotein	NA
gene_2105	hypotheticalprotein	NA
gene_2112	Proteinofunknownfunction(DUF3405)-domaincontainingprotein	NA
gene_2113	RING-15protein	NA
gene_8432	hypotheticalprotein	NA
gene_2116	hypotheticalprotein	NA
gene_2117	expressedprotein	NA
gene_3016	expressedprotein	NA
gene_2119	choline-phosphatecytidylyltransferase	CE8
gene_10325	hypotheticalprotein	NA
gene_2120	FADbindingdomain-containingprotein	NA
gene_11772	Malesterilityprotein-domaincontainingprotein	NA
gene_2122	expressedprotein	NA
gene_2123	Majorfacilitatorsuperfamilydomain-containingprotein	NA
gene_2124	pentafunctionalAROMpolypeptide	NA
gene_10360	Fungalspecifictranscriptionfactordomain-domaincontainingprotein	GH28
gene_2126	Fungalspecifictranscriptionfactordomain-domaincontainingprotein	NA
gene_2127	fucosepermease	NA
gene_8419	S-adenosyl-L-methionine-dependentmethyltransferase	AA11
gene_4179	hypotheticalprotein	NA
gene_2129	ribonuclease	NA
gene_2128	capsularassociatedprotein	GT90
gene_2974	hypotheticalprotein	NA
gene_2133	hypotheticalprotein	NA
gene_2135	cAMP-regulatedphosphoprotein/endosulfineconservedregion-domaincontainingprotein	NA
gene_2140	expressedprotein	NA
gene_2139	expressedprotein	NA
gene_4539	DUF895domainmembraneprotein	NA
gene_2965	expressedprotein	NA
gene_8428	hypotheticalprotein	NA
gene_2145	hypotheticalprotein	NA
gene_6085	keratin-associatedprotein10-7	NA
gene_2149	hypotheticalprotein	NA
gene_2153	expressedprotein	NA
gene_2152	hypotheticalprotein	NA
gene_2151	expressedprotein	NA
gene_5977	hypotheticalprotein	NA
gene_2157	expressedprotein	NA
gene_2156	hypotheticalprotein	NA
gene_8422	hypotheticalprotein	NA
gene_4584	Proteinofunknownfunction(DUF1479)-domaincontainingprotein	NA
gene_2162	expressedprotein	NA
gene_10326	hypotheticalprotein	NA
gene_2971	CytochromeP450	NA
gene_12350	3ank:Adesignedankyrinrepeatproteinwiththreeidenticalconsensusrepeats	NA
gene_2169	HECT-domain-containingprotein	NA
gene_6397	campindependentregulatoryprotein	NA
gene_2686	GroES(chaperonin10)-likeprotein	NA
gene_1315	Proteinofunknownfunction(DUF1479)-domaincontainingprotein	NA
gene_1306	sphingolipidlongchainbase-responsiveproteinLSP1	NA
gene_392	dihydroxyacetonekinase	NA
gene_2440	Majorfacilitatorsuperfamilydomain-containingprotein	NA
gene_723	expressedprotein	NA
gene_28	hypotheticalprotein	NA
gene_2589	hypotheticalprotein	GH146
gene_1280	P-loopcontainingnucleosidetriphosphatehydrolaseprotein	NA
gene_1130	extracellulartrypsinprotease	CBM5
gene_256	SETdomain-containingprotein	NA
gene_32	hypotheticalprotein	NA
gene_1964	ORMDLfamily-domaincontainingprotein	NA
gene_2517	DUF890domain-containingprotein	NA
gene_1664	60SribosomalproteinL6-2	GH92
gene_270	EndoribonucleaseL-PSP/chorismatemutase-likeprotein	NA
gene_2576	FADdependentoxidoreductase	NA
gene_935	eukaryoticpeptidechainreleasefactorGTP-bindingsubunit	NA
gene_2963	expressedprotein	NA
gene_2173	Uncharacterisedprotein(DUF2406)-domaincontainingprotein	NA
gene_2174	hypotheticalprotein	NA
gene_701	isocitratedehydrogenasesubunit2	CE0
gene_107	hypotheticalprotein	NA
gene_1537	SNF2familydomain-containingprotein	NA
gene_81	sugartransporterSTL1	NA
gene_379	PXAdomain-domaincontainingprotein	NA
gene_2867	Malesterilityprotein-domaincontainingprotein	NA
gene_1788	vacuolartransporterchaperone4	NA
gene_867	Alpha/Betahydrolasefold	NA
gene_1553	amidohydrolase	NA
gene_2911	expressedprotein	NA
gene_2543	TPA:aminoacidtransporter	NA
gene_104	ERG2/sigma1receptor-likeprotein	NA
gene_1305	SETdomain-containingprotein	NA
gene_1359	SH3domain-containingprotein	NA
gene_2093	electrontransferflavoprotein-ubiquinoneoxidoreductase	GT87
gene_2792	short-chaindehydrogenase	NA
gene_2176	Mitochondrialcarrierdomain-containingprotein	NA
gene_188	hypotheticalprotein	CE8
gene_2958	hypotheticalprotein	NA
gene_2175	SNF2superfamilyprotein	NA
gene_2306	aminotransferase	GH55_2
gene_1666	ADP-ribosylationfactorGTPaseoftherassuperfamily	GH28
gene_1367	autophagyproteinApg6	NA
gene_2932	S-adenosyl-L-methionine-dependentmethyltransferase	NA
gene_2178	hypotheticalprotein	NA
gene_1817	RibosomalproteinL10e/L16	NA
gene_2797	hypotheticalprotein	NA
gene_1273	YIPF1protein	NA
gene_2179	NADdependentepimerase/dehydratasefamilyprotein	NA
gene_219	CoA-transferasefamilyIIIdomain-containingprotein	AA4
gene_2525	aminoacidtransporter	NA
gene_630	urease	NA
gene_2782	dehydrogenase/reductaseSDRfamilymember13	NA
gene_2729	ubiquitinthioesteraseOTUB1	NA
gene_1856	calcium/calmodulin-dependentproteinkinase	GH47
gene_483	phosphate-repressiblephosphatepermease	NA
gene_2228	ubiquitin-conjugatingenzyme	NA
gene_971	Ca2+transporter	NA
gene_2181	hypotheticalprotein	NA
gene_2180	F-actin-cappingproteinsubunitbeta	NA
gene_1175	aminotransferaseclass-III	NA
gene_1726	hypotheticalprotein	NA
gene_1616	D-glycerate3-kinase	NA
gene_558	ferricreductasetransmembranecomponent4	GH43_11
gene_125	hypotheticalprotein	NA
gene_2783	Pectinlyasefold/virulencefactor	CE8
gene_2182	autophagyproteinAtg22	NA
gene_2824	ConcanavalinA-likelectin/glucanasedomain-containingprotein	GH12
gene_2467	dihydrolipoyllysine-residueacetyltransferasecomponent-pyruvatedehydrogenasecomplex	NA
gene_177	mitochondrialtricarboxylatetransporter	NA
gene_2183	hypotheticalprotein	NA
gene_888	hypotheticalprotein	NA
gene_1916	formate-tetrahydrofolateligase	NA
gene_505	allantoatepermease	NA
gene_2154	neutral/alkalinenon-lysosomalceramidase	GT31
gene_884	celldivisioncontrolprotein	NA
gene_2186	ubiquitincarboxyl-terminalhydrolase	NA
gene_900	putativeamidohydrolase	NA
gene_2975	G2/mitotic-specificcyclincdc13	NA
gene_715	NUDIXhydrolasedomain-likeprotein	NA
gene_2849	hypotheticalprotein	NA
gene_2868	hypotheticalprotein	NA
gene_1511	ConcanavalinA-likelectin/glucanasedomain-containingprotein	GH16_1
gene_1000	peroxisomalcopperamineoxidase	NA
gene_2190	expressedprotein	NA
gene_1053	traffickingproteinparticlecomplexsubunit3	NA
gene_60	hypotheticalprotein	NA
gene_817	fluconazoleresistanceprotein	GH31_4
gene_2655	startcontrolproteincdc10	NA
gene_2921	hypotheticalprotein	NA
gene_757	expressedprotein	CE16
gene_2915	C6zincfingerdomain-containingprotein	NA
gene_1724	caspase-likeprotein	NA
gene_2791	galactosyltransferaseGMA12/MNN10familyprotein	GT34
gene_660	Like-Sm(LSM)domain-containingprotein	NA
gene_46	shortchaindehydrogenase	GH5_15
gene_968	S-adenosyl-L-methionine-dependentmethyltransferase	NA
gene_2411	phosphomevalonatekinase	NA
gene_304	guaninenucleotide-bindingproteinsubunitbeta	CBM43
gene_2333	majorfacilitatorsuperfamilytransporter	NA
gene_577	chitinase	GH18
gene_131	hypotheticalprotein	NA
gene_2776	NUDIXdomain-containingprotein	NA
gene_2194	hypotheticalprotein	NA
gene_157	acetyl-CoAcarboxylase	NA
gene_2425	NADP-dependentoxidoreductasedomain-containingprotein	NA
gene_2195	expressedprotein	NA
gene_1333	hypotheticalprotein	NA
gene_48	sulfurcontroller2	NA
gene_58	family76glycosylhydrolase	GH76
gene_1409	peptidasefamilyC54protein	NA
gene_3000	hypotheticalprotein	NA
gene_2198	expressedprotein	NA
gene_2197	Generalsubstratetransporter	NA
gene_2556	GYFdomain-containingprotein	NA
gene_1888	transcriptioninitiationfactorIIAgammachain	CBM45
gene_2979	SGNHhydrolase-typeesterasedomain-containingprotein	NA
gene_755	Reticulon-domaincontainingprotein	NA
gene_23	Fungalspecifictranscriptionfactordomain-domaincontainingprotein	NA
gene_1162	coenzymeAtransferase	NA
gene_2200	hypotheticalprotein	NA
gene_3758	putativeepimerase	NA
gene_4059	Majorfacilitatorsuperfamilydomain-containingprotein	NA
gene_5447	hypotheticalprotein	NA
gene_3811	carboxypeptidase	NA
gene_5458	cyclin-K	NA
gene_3768	Alpha/Betahydrolasefold	NA
gene_5236	maltosepermeaseMAL31	GH32
gene_4406	Generalsubstratetransporter	NA
gene_4165	salicylatehydroxylase	NA
gene_3731	iron-containingalcoholdehydrogenase	NA
gene_3529	RecQfamilyATP-dependentDNAhelicase	NA
gene_3849	family2glycosylhydrolase	GH2
gene_4241	RasGEFdomain-containingprotein	NA
gene_4473	hemoglobin	NA
gene_3718	HECT-domain-containingprotein	NA
gene_2210	cutinaseG-boxbindingprotein	NA
gene_3388	hypotheticalprotein	NA
gene_4011	alpha-N-arabinofuranosidaseA	GH51_2
gene_4757	hypotheticalprotein	NA
gene_5974	Glycosylhydrolasefamily71-domaincontainingprotein	CBM24
gene_2211	expressedprotein	NA
gene_4189	Cupredoxin	AA1_2
gene_3531	linoleatediolsynthase	NA
gene_4620	acetyl-CoAhydrolase	NA
gene_4119	oxidoreductaseucpA	NA
gene_3272	Cytidinedeaminase-likeprotein	NA
gene_4376	hypotheticalprotein	NA
gene_3672	Proteinofunknownfunction(DUF1242)-domaincontainingprotein	NA
gene_4085	alkalineelastaseYaB	NA
gene_3726	generalnegativeregulatoroftranscriptionsubunit4	NA
gene_5464	Proteinkinase-likedomain-containingprotein	NA
gene_2213	hypotheticalprotein	NA
gene_3602	GrpE-domaincontainingprotein	NA
gene_2217	expressedprotein	NA
gene_4578	metaldependentamidohydrolase	NA
gene_3643	heatshockfactorprotein	NA
gene_4600	Majorfacilitatorsuperfamilydomain-containingprotein	NA
gene_2214	expressedprotein	NA
gene_2215	Domainofunknownfunction(DUF202)-domaincontainingprotein	NA
gene_2216	P-loopcontainingnucleosidetriphosphatehydrolaseprotein	NA
gene_5944	MAP/microtubuleaffinity-regulatingkinase	AA1_3
gene_3528	NACHTandankyrindomain-containingprotein	NA
gene_4847	hypotheticalprotein	NA
gene_4139	Majorfacilitatorsuperfamilydomain-containingprotein	NA
gene_3474	C6zincfingerdomain-containingprotein	NA
gene_3626	polyaminetransporter1	CE1
gene_5306	Cupredoxin	NA
gene_4192	endo-1%2C4-beta-xylanase	GH10
gene_3732	sulfitereductaseflavoproteincomponent	NA
gene_5877	Generalsubstratetransporter	NA
gene_3021	SILGprotein	NA
gene_4247	endonuclease/Exonuclease/phosphatase	CBM13
gene_3681	hypotheticalprotein	NA
gene_4728	Glycosidehydrolasesuperfamily	CBM1
gene_5919	glycosylhydrolase	GH31_15
gene_3833	Uncharacterizedproteinconservedinbacteria(DUF2264)-domaincontainingprotein	GH154
gene_4422	RibosomalproteinS21e	NA
gene_5038	Aldehyde/histidinoldehydrogenase	NA
gene_3172	RasGEFdomain-containingprotein	NA
gene_5918	Generalsubstratetransporter	GH32
gene_3636	carboxypeptidase2	NA
gene_4712	Corticalproteinmarkerforcellpolarity-domaincontainingprotein	NA
gene_3940	putativeF-actin-cappingprotein	NA
gene_3176	hypotheticalprotein	NA
gene_2218	hypotheticalprotein	NA
gene_3117	plasmamembraneATPase	GT2
gene_5669	Majorfacilitatorsuperfamilydomain-containingprotein	NA
gene_5701	ImmunoglobulinE-set	GH0
gene_4991	sorbitoldehydrogenase	NA
gene_5357	family2glycosyltransferase	GT2
gene_3797	generalalpha-glucosidepermease	GH32
gene_3725	NADHdehydrogenaseiron-sulfurprotein	NA
gene_5843	D-lactatedehydrogenase	NA
gene_3467	4-coumarate-CoAligase	NA
gene_5299	phospholipid-translocatingP-typeATPase	NA
gene_4877	Carbamoyl-phosphatesynthaseLchain%2CATPbindingdomain-domaincontainingprotein	NA
gene_5861	ABC-2typetransporter-domaincontainingprotein	NA
gene_3997	hexaprenyldihydroxybenzoatemethyltransferase	NA
gene_3948	hypotheticalprotein	NA
gene_4337	Majorfacilitatorsuperfamilydomain-containingprotein	NA
gene_4012	Cytidinedeaminase-likeprotein	NA
gene_4007	calcium/protonexchanger	GH0
gene_5768	generalalpha-glucosidepermease	GH32
gene_4306	beta-glucosidase	GH3
gene_5641	calcium-transportingATPase	NA
gene_5867	PeptidaseS24/S26A/S26B/S26C	NA
gene_3825	hypotheticalprotein	NA
gene_5841	polyaminetransporter2	NA
gene_3461	hypotheticalprotein	NA
gene_4493	Proteinofunknownfunction(DUF3292)-domaincontainingprotein	NA
gene_3842	acidphosphatasePHO1	NA
gene_3374	hypotheticalprotein	AA7
gene_3471	Catalase-likedomain-containingprotein	NA
gene_5874	hypotheticalprotein	NA
gene_3957	hypotheticalprotein	NA
gene_2227	Anp1-domaincontainingprotein	GT62
gene_5648	cytoplasmprotein	NA
gene_4499	Batten'sdiseaseproteinCln3	NA
gene_5231	WSCdomain-domaincontainingprotein	NA
gene_2229	hypotheticalprotein	NA
gene_5246	cholinetransportprotein	GH35
gene_5406	inorganicpyrophosphatase	NA
gene_4363	Heterokaryonincompatibilityprotein(HET)-domaincontainingprotein	NA
gene_4319	Generalsubstratetransporter	NA
gene_7958	NADP-dependentoxidoreductasedomain-containingprotein	NA
gene_7213	kinesin-II95kDasubunit	NA
gene_8254	majorfacilitatorsuperfamilytransporter	NA
gene_6684	E3ubiquitin-proteinligase	NA
gene_6313	histonechaperoneASF1	NA
gene_8217	3-hydroxyisobutyratedehydrogenase	NA
gene_7767	glycoproteinendopeptidaseKAE1	NA
gene_179	methyltransferasedomain-containingprotein	NA
gene_6023	Uspdomain-containingprotein	NA
gene_7923	sucrose-6-phosphatehydrolase	CBM38
gene_7466	hypotheticalprotein	GT32
gene_8119	hypotheticalprotein	CBM14
gene_7533	hypotheticalprotein	NA
gene_8358	hypotheticalprotein	NA
gene_8276	phospholipase	NA
gene_7632	hypotheticalprotein	NA
gene_8299	hypotheticalprotein	NA
gene_7112	Golgiphosphoprotein3(GPP34)-domaincontainingprotein	NA
gene_7173	peptidyl-prolylcis-transisomeraseB	CE16
gene_6500	Uncharacterizedalpha/betahydrolasedomain(DUF2235)-domaincontainingprotein	NA
gene_6427	eukaryotictranslationinitiationfactor3subunitE	NA
gene_8275	chitinase	GH18
gene_8375	serine/threonine-proteinkinaseSRPK2	NA
gene_8336	RlpA-likedouble-psibeta-barrel-containingproteindomain-containingprotein	NA
gene_6543	alcoholdehydrogenase	GT0
gene_7076	DHS-likeNAD/FAD-bindingdomain-containingprotein	NA
gene_7113	eukaryotictranslationinitiationfactoreIF2A	NA
gene_7379	hypotheticalprotein	NA
gene_7579	Fibrillarin-domaincontainingprotein	NA
gene_8339	hypotheticalprotein	NA
gene_181	hypotheticalprotein	NA
gene_6035	G10protein	NA
