	Wells	Plate	Media	Carbon Concentration	Carbon	Ratio	Microbe	Time	Time2	OD600	Fluorescens
319	G7	P1	M9	0.75mM	3OMG_D.Glucose	100_100	F16	48	48H	0.111500002	385
320	G8	P1	M9	0.75mM	3OMG_D.Glucose	100_100	F16	48	48H	0.113700002	352
321	G9	P1	M9	0.75mM	3OMG_D.Glucose	100_100	F16	48	48H	0.112000003	368
322	G10	P1	M9	0.75mM	Water	0_0	F16	48	48H	0.092500001	185
323	G11	P1	M9	0.75mM	Water	0_0	F16	48	48H	0.093099996	188
324	G12	P1	M9	0.75mM	Water	0_0	F16	48	48H	0.093699999	188
325	H1	P1	M9	0mM	3OMG	100_0	F16	48	48H	0.100699998	228
326	H2	P1	M9	0mM	3OMG	100_0	F16	48	48H	0.095299996	190
327	H3	P1	M9	0mM	3OMG	100_0	F16	48	48H	0.0942	185
328	H4	P1	M9	0mM	D.Glucose	0_100	F16	48	48H	0.096100003	183
329	H5	P1	M9	0mM	D.Glucose	0_100	F16	48	48H	0.099200003	191
330	H6	P1	M9	0mM	D.Glucose	0_100	F16	48	48H	0.0964	186
331	H7	P1	M9	0mM	3OMG_D.Glucose	100_100	F16	48	48H	0.096600004	196
332	H8	P1	M9	0mM	3OMG_D.Glucose	100_100	F16	48	48H	0.096299998	194
333	H9	P1	M9	0mM	3OMG_D.Glucose	100_100	F16	48	48H	0.095899999	191
334	H10	P1	M9	0mM	Water	0_0	F16	48	48H	0.098099999	190
335	H11	P1	M9	0mM	Water	0_0	F16	48	48H	0.093699999	196
336	H12	P1	M9	0mM	Water	0_0	F16	48	48H	0.095100001	189
337	A1	P2	1/2MS	0mM	Water	100_0	MF	48	48H	0.081299998	138
338	A2	P2	1/2MS	0mM	Water	100_0	MF	48	48H	0.079800002	135
339	A3	P2	1/2MS	0mM	Water	100_0	MF	48	48H	0.080300003	145
340	A4	P2	1/2MS	0mM	Water	0_100	MF	48	48H	0.080399998	133
341	A5	P2	1/2MS	0mM	Water	0_100	MF	48	48H	0.081200004	132
342	A6	P2	1/2MS	0mM	Water	0_100	MF	48	48H	0.0814	135
343	A7	P2	1/2MS	0mM	Water	100_100	MF	48	48H	0.0814	130
344	A8	P2	1/2MS	0mM	Water	100_100	MF	48	48H	0.080499999	134
345	A9	P2	1/2MS	0mM	Water	100_100	MF	48	48H	0.079700001	138
346	A10	P2	1/2MS	0mM	Water	0_0	MF	48	48H	0.080600001	139
347	A11	P2	1/2MS	0mM	Water	0_0	MF	48	48H	0.079800002	137
348	A12	P2	1/2MS	0mM	Water	0_0	MF	48	48H	0.079700001	140
349	B1	P2	M9	0mM	Water	100_0	MF	48	48H	0.083400004	120
350	B2	P2	M9	0mM	Water	100_0	MF	48	48H	0.082999997	123
351	B3	P2	M9	0mM	Water	100_0	MF	48	48H	0.082500003	122
352	B4	P2	M9	0mM	Water	0_100	MF	48	48H	0.083499998	125
353	B5	P2	M9	0mM	Water	0_100	MF	48	48H	0.082599998	123
354	B6	P2	M9	0mM	Water	0_100	MF	48	48H	0.082599998	122
355	B7	P2	M9	0mM	Water	100_100	MF	48	48H	0.082400002	123
356	B8	P2	M9	0mM	Water	100_100	MF	48	48H	0.082800001	122
357	B9	P2	M9	0mM	Water	100_100	MF	48	48H	0.082999997	122
358	B10	P2	M9	0mM	Water	0_0	MF	48	48H	0.082900003	124
359	B11	P2	M9	0mM	Water	0_0	MF	48	48H	0.084200002	124
360	B12	P2	M9	0mM	Water	0_0	MF	48	48H	0.082500003	120
361	A1	P1	1/2MS	75mM	3OMG	100_0	F16	72	72H	0.104000002	182
362	A2	P1	1/2MS	75mM	3OMG	100_0	F16	72	72H	0.099799998	187
363	A3	P1	1/2MS	75mM	3OMG	100_0	F16	72	72H	0.100000001	183
364	A4	P1	1/2MS	75mM	D.Glucose	0_100	F16	72	72H	0.266900003	1323
365	A5	P1	1/2MS	75mM	D.Glucose	0_100	F16	72	72H	0.248899996	1207
366	A6	P1	1/2MS	75mM	D.Glucose	0_100	F16	72	72H	0.246900007	1206
367	A7	P1	1/2MS	75mM	3OMG_D.Glucose	100_100	F16	72	72H	0.25819999	1412
368	A8	P1	1/2MS	75mM	3OMG_D.Glucose	100_100	F16	72	72H	0.332899988	1683
369	A9	P1	1/2MS	75mM	3OMG_D.Glucose	100_100	F16	72	72H	0.279399991	1506
370	A10	P1	1/2MS	75mM	Water	0_0	F16	72	72H	0.105800003	231
371	A11	P1	1/2MS	75mM	Water	0_0	F16	72	72H	0.105400003	230
372	A12	P1	1/2MS	75mM	Water	0_0	F16	72	72H	0.107900001	226
373	B1	P1	1/2MS	7.5mM	3OMG	100_0	F16	72	72H	0.094599999	149
374	B2	P1	1/2MS	7.5mM	3OMG	100_0	F16	72	72H	0.092600003	157
375	B3	P1	1/2MS	7.5mM	3OMG	100_0	F16	72	72H	0.093599997	158
376	B4	P1	1/2MS	7.5mM	D.Glucose	0_100	F16	72	72H	0.210999995	1354
377	B5	P1	1/2MS	7.5mM	D.Glucose	0_100	F16	72	72H	0.208800003	1378
378	B6	P1	1/2MS	7.5mM	D.Glucose	0_100	F16	72	72H	0.212899998	1564
379	B7	P1	1/2MS	7.5mM	3OMG_D.Glucose	100_100	F16	72	72H	0.205599993	1760
380	B8	P1	1/2MS	7.5mM	3OMG_D.Glucose	100_100	F16	72	72H	0.206699997	1656
381	B9	P1	1/2MS	7.5mM	3OMG_D.Glucose	100_100	F16	72	72H	0.203899994	1745
382	B10	P1	1/2MS	7.5mM	Water	0_0	F16	72	72H	0.101300001	236
383	B11	P1	1/2MS	7.5mM	Water	0_0	F16	72	72H	0.101999998	231
384	B12	P1	1/2MS	7.5mM	Water	0_0	F16	72	72H	0.106200002	225
385	C1	P1	1/2MS	0.75mM	3OMG	100_0	F16	72	72H	0.090400003	143
386	C2	P1	1/2MS	0.75mM	3OMG	100_0	F16	72	72H	0.093900003	154
387	C3	P1	1/2MS	0.75mM	3OMG	100_0	F16	72	72H	0.095799997	155
388	C4	P1	1/2MS	0.75mM	D.Glucose	0_100	F16	72	72H	0.124300003	588
389	C5	P1	1/2MS	0.75mM	D.Glucose	0_100	F16	72	72H	0.126599997	547
390	C6	P1	1/2MS	0.75mM	D.Glucose	0_100	F16	72	72H	0.124799997	544
391	C7	P1	1/2MS	0.75mM	3OMG_D.Glucose	100_100	F16	72	72H	0.105300002	527
392	C8	P1	1/2MS	0.75mM	3OMG_D.Glucose	100_100	F16	72	72H	0.107600003	502
393	C9	P1	1/2MS	0.75mM	3OMG_D.Glucose	100_100	F16	72	72H	0.111100003	477
394	C10	P1	1/2MS	0.75mM	Water	0_0	F16	72	72H	0.102200001	226
395	C11	P1	1/2MS	0.75mM	Water	0_0	F16	72	72H	0.102200001	223
396	C12	P1	1/2MS	0.75mM	Water	0_0	F16	72	72H	0.1043	221
397	D1	P1	1/2MS	0mM	3OMG	100_0	F16	72	72H	0.1052	252
398	D2	P1	1/2MS	0mM	3OMG	100_0	F16	72	72H	0.104099996	260
399	D3	P1	1/2MS	0mM	3OMG	100_0	F16	72	72H	0.105400003	251
400	D4	P1	1/2MS	0mM	D.Glucose	0_100	F16	72	72H	0.105400003	246
401	D5	P1	1/2MS	0mM	D.Glucose	0_100	F16	72	72H	0.105400003	244
402	D6	P1	1/2MS	0mM	D.Glucose	0_100	F16	72	72H	0.1039	237
403	D7	P1	1/2MS	0mM	3OMG_D.Glucose	100_100	F16	72	72H	0.102200001	250
404	D8	P1	1/2MS	0mM	3OMG_D.Glucose	100_100	F16	72	72H	0.104599997	243
405	D9	P1	1/2MS	0mM	3OMG_D.Glucose	100_100	F16	72	72H	0.102200001	237
406	D10	P1	1/2MS	0mM	Water	0_0	F16	72	72H	0.104199998	232
407	D11	P1	1/2MS	0mM	Water	0_0	F16	72	72H	0.101199999	228
408	D12	P1	1/2MS	0mM	Water	0_0	F16	72	72H	0.104999997	229
409	E1	P1	M9	75mM	3OMG	100_0	F16	72	72H	0.0964	185
410	E2	P1	M9	75mM	3OMG	100_0	F16	72	72H	0.096500002	183
411	E3	P1	M9	75mM	3OMG	100_0	F16	72	72H	0.100100003	173
412	E4	P1	M9	75mM	D.Glucose	0_100	F16	72	72H	0.291299999	537
413	E5	P1	M9	75mM	D.Glucose	0_100	F16	72	72H	0.295300007	551
414	E6	P1	M9	75mM	D.Glucose	0_100	F16	72	72H	0.290899992	542
415	E7	P1	M9	75mM	3OMG_D.Glucose	100_100	F16	72	72H	0.310299993	720
416	E8	P1	M9	75mM	3OMG_D.Glucose	100_100	F16	72	72H	0.304699987	685
417	E9	P1	M9	75mM	3OMG_D.Glucose	100_100	F16	72	72H	0.302100003	678
418	E10	P1	M9	75mM	Water	0_0	F16	72	72H	0.097400002	185
419	E11	P1	M9	75mM	Water	0_0	F16	72	72H	0.099600002	191
420	E12	P1	M9	75mM	Water	0_0	F16	72	72H	0.104900002	194
421	F1	P1	M9	7.5mM	3OMG	100_0	F16	72	72H	0.092100002	168
422	F2	P1	M9	7.5mM	3OMG	100_0	F16	72	72H	0.094400004	170
423	F3	P1	M9	7.5mM	3OMG	100_0	F16	72	72H	0.093099996	167
424	F4	P1	M9	7.5mM	D.Glucose	0_100	F16	72	72H	0.325700015	553
425	F5	P1	M9	7.5mM	D.Glucose	0_100	F16	72	72H	0.3204	551
426	F6	P1	M9	7.5mM	D.Glucose	0_100	F16	72	72H	0.321399987	551
427	F7	P1	M9	7.5mM	3OMG_D.Glucose	100_100	F16	72	72H	0.334699988	581
428	F8	P1	M9	7.5mM	3OMG_D.Glucose	100_100	F16	72	72H	0.338099986	589
429	F9	P1	M9	7.5mM	3OMG_D.Glucose	100_100	F16	72	72H	0.340700001	606
430	F10	P1	M9	7.5mM	Water	0_0	F16	72	72H	0.096100003	184
431	F11	P1	M9	7.5mM	Water	0_0	F16	72	72H	0.096299998	188
432	F12	P1	M9	7.5mM	Water	0_0	F16	72	72H	0.096199997	197
433	G1	P1	M9	0.75mM	3OMG	100_0	F16	72	72H	0.091799997	163
434	G2	P1	M9	0.75mM	3OMG	100_0	F16	72	72H	0.090800002	164
435	G3	P1	M9	0.75mM	3OMG	100_0	F16	72	72H	0.0955	169
436	G4	P1	M9	0.75mM	D.Glucose	0_100	F16	72	72H	0.121600002	387
437	G5	P1	M9	0.75mM	D.Glucose	0_100	F16	72	72H	0.118600003	364
438	G6	P1	M9	0.75mM	D.Glucose	0_100	F16	72	72H	0.121200003	360
439	G7	P1	M9	0.75mM	3OMG_D.Glucose	100_100	F16	72	72H	0.108000003	400
440	G8	P1	M9	0.75mM	3OMG_D.Glucose	100_100	F16	72	72H	0.110299997	375
441	G9	P1	M9	0.75mM	3OMG_D.Glucose	100_100	F16	72	72H	0.111900002	383
442	G10	P1	M9	0.75mM	Water	0_0	F16	72	72H	0.095899999	184
443	G11	P1	M9	0.75mM	Water	0_0	F16	72	72H	0.097999997	192
444	G12	P1	M9	0.75mM	Water	0_0	F16	72	72H	0.097499996	191
445	H1	P1	M9	0mM	3OMG	100_0	F16	72	72H	0.1017	233
446	H2	P1	M9	0mM	3OMG	100_0	F16	72	72H	0.098200001	192
447	H3	P1	M9	0mM	3OMG	100_0	F16	72	72H	0.0977	183
448	H4	P1	M9	0mM	D.Glucose	0_100	F16	72	72H	0.098899998	187
449	H5	P1	M9	0mM	D.Glucose	0_100	F16	72	72H	0.1008	190
450	H6	P1	M9	0mM	D.Glucose	0_100	F16	72	72H	0.0999	189
451	H7	P1	M9	0mM	3OMG_D.Glucose	100_100	F16	72	72H	0.102499999	198
452	H8	P1	M9	0mM	3OMG_D.Glucose	100_100	F16	72	72H	0.1017	195
453	H9	P1	M9	0mM	3OMG_D.Glucose	100_100	F16	72	72H	0.100000001	193
454	H10	P1	M9	0mM	Water	0_0	F16	72	72H	0.099799998	187
455	H11	P1	M9	0mM	Water	0_0	F16	72	72H	0.100400001	200
456	H12	P1	M9	0mM	Water	0_0	F16	72	72H	0.099399999	197
457	A1	P2	1/2MS	0mM	Water	100_0	MF	72	72H	0.082199998	132
458	A2	P2	1/2MS	0mM	Water	100_0	MF	72	72H	0.080700003	132
459	A3	P2	1/2MS	0mM	Water	100_0	MF	72	72H	0.081200004	135
460	A4	P2	1/2MS	0mM	Water	0_100	MF	72	72H	0.080200002	138
461	A5	P2	1/2MS	0mM	Water	0_100	MF	72	72H	0.080399998	135
462	A6	P2	1/2MS	0mM	Water	0_100	MF	72	72H	0.080799997	139
463	A7	P2	1/2MS	0mM	Water	100_100	MF	72	72H	0.079899997	138
464	A8	P2	1/2MS	0mM	Water	100_100	MF	72	72H	0.081	137
465	A9	P2	1/2MS	0mM	Water	100_100	MF	72	72H	0.080700003	136
466	A10	P2	1/2MS	0mM	Water	0_0	MF	72	72H	0.0801	141
467	A11	P2	1/2MS	0mM	Water	0_0	MF	72	72H	0.0801	138
468	A12	P2	1/2MS	0mM	Water	0_0	MF	72	72H	0.080399998	138
469	B1	P2	M9	0mM	Water	100_0	MF	72	72H	0.083999999	117
470	B2	P2	M9	0mM	Water	100_0	MF	72	72H	0.083800003	119
471	B3	P2	M9	0mM	Water	100_0	MF	72	72H	0.0832	119
472	B4	P2	M9	0mM	Water	0_100	MF	72	72H	0.084299996	119
473	B5	P2	M9	0mM	Water	0_100	MF	72	72H	0.083400004	118
474	B6	P2	M9	0mM	Water	0_100	MF	72	72H	0.083400004	118
475	B7	P2	M9	0mM	Water	100_100	MF	72	72H	0.0832	115
476	B8	P2	M9	0mM	Water	100_100	MF	72	72H	0.0836	117
477	B9	P2	M9	0mM	Water	100_100	MF	72	72H	0.083800003	117
478	B10	P2	M9	0mM	Water	0_0	MF	72	72H	0.083700001	119
479	B11	P2	M9	0mM	Water	0_0	MF	72	72H	0.084799998	118
480	B12	P2	M9	0mM	Water	0_0	MF	72	72H	0.082999997	116
481	A1	P1	1/2MS	75mM	3OMG	100_0	F16	96	96H	0.102700002	187
482	A2	P1	1/2MS	75mM	3OMG	100_0	F16	96	96H	0.099799998	182
483	A3	P1	1/2MS	75mM	3OMG	100_0	F16	96	96H	0.100000001	179
484	A4	P1	1/2MS	75mM	D.Glucose	0_100	F16	96	96H	0.313300014	1209
485	A5	P1	1/2MS	75mM	D.Glucose	0_100	F16	96	96H	0.279199988	1135
486	A6	P1	1/2MS	75mM	D.Glucose	0_100	F16	96	96H	0.283399999	1127
487	A7	P1	1/2MS	75mM	3OMG_D.Glucose	100_100	F16	96	96H	0.312299997	1335
488	A8	P1	1/2MS	75mM	3OMG_D.Glucose	100_100	F16	96	96H	0.416700006	1543
489	A9	P1	1/2MS	75mM	3OMG_D.Glucose	100_100	F16	96	96H	0.336400002	1401
490	A10	P1	1/2MS	75mM	Water	0_0	F16	96	96H	0.107100002	218
491	A11	P1	1/2MS	75mM	Water	0_0	F16	96	96H	0.1065	219
492	A12	P1	1/2MS	75mM	Water	0_0	F16	96	96H	0.108400002	218
493	B1	P1	1/2MS	7.5mM	3OMG	100_0	F16	96	96H	0.094800003	145
494	B2	P1	1/2MS	7.5mM	3OMG	100_0	F16	96	96H	0.092299998	153
495	B3	P1	1/2MS	7.5mM	3OMG	100_0	F16	96	96H	0.092699997	155
496	B4	P1	1/2MS	7.5mM	D.Glucose	0_100	F16	96	96H	0.203400001	1117
497	B5	P1	1/2MS	7.5mM	D.Glucose	0_100	F16	96	96H	0.201700002	1139
498	B6	P1	1/2MS	7.5mM	D.Glucose	0_100	F16	96	96H	0.205599993	1287
499	B7	P1	1/2MS	7.5mM	3OMG_D.Glucose	100_100	F16	96	96H	0.208199993	1484
500	B8	P1	1/2MS	7.5mM	3OMG_D.Glucose	100_100	F16	96	96H	0.206699997	1395
501	B9	P1	1/2MS	7.5mM	3OMG_D.Glucose	100_100	F16	96	96H	0.203600004	1439
502	B10	P1	1/2MS	7.5mM	Water	0_0	F16	96	96H	0.101000004	219
503	B11	P1	1/2MS	7.5mM	Water	0_0	F16	96	96H	0.101899996	219
504	B12	P1	1/2MS	7.5mM	Water	0_0	F16	96	96H	0.107199997	213
505	C1	P1	1/2MS	0.75mM	3OMG	100_0	F16	96	96H	0.090700001	142
506	C2	P1	1/2MS	0.75mM	3OMG	100_0	F16	96	96H	0.093500003	153
507	C3	P1	1/2MS	0.75mM	3OMG	100_0	F16	96	96H	0.095299996	156
508	C4	P1	1/2MS	0.75mM	D.Glucose	0_100	F16	96	96H	0.120800003	572
509	C5	P1	1/2MS	0.75mM	D.Glucose	0_100	F16	96	96H	0.1228	529
510	C6	P1	1/2MS	0.75mM	D.Glucose	0_100	F16	96	96H	0.1215	531
511	C7	P1	1/2MS	0.75mM	3OMG_D.Glucose	100_100	F16	96	96H	0.101499997	488
512	C8	P1	1/2MS	0.75mM	3OMG_D.Glucose	100_100	F16	96	96H	0.1039	479
513	C9	P1	1/2MS	0.75mM	3OMG_D.Glucose	100_100	F16	96	96H	0.1074	457
514	C10	P1	1/2MS	0.75mM	Water	0_0	F16	96	96H	0.100699998	217
515	C11	P1	1/2MS	0.75mM	Water	0_0	F16	96	96H	0.101800002	216
516	C12	P1	1/2MS	0.75mM	Water	0_0	F16	96	96H	0.104999997	212
517	D1	P1	1/2MS	0mM	3OMG	100_0	F16	96	96H	0.105999999	254
518	D2	P1	1/2MS	0mM	3OMG	100_0	F16	96	96H	0.103799999	265
519	D3	P1	1/2MS	0mM	3OMG	100_0	F16	96	96H	0.104500003	251
520	D4	P1	1/2MS	0mM	D.Glucose	0_100	F16	96	96H	0.103699997	248
521	D5	P1	1/2MS	0mM	D.Glucose	0_100	F16	96	96H	0.103399999	247
522	D6	P1	1/2MS	0mM	D.Glucose	0_100	F16	96	96H	0.102899998	238
523	D7	P1	1/2MS	0mM	3OMG_D.Glucose	100_100	F16	96	96H	0.101199999	246
524	D8	P1	1/2MS	0mM	3OMG_D.Glucose	100_100	F16	96	96H	0.103299998	239
525	D9	P1	1/2MS	0mM	3OMG_D.Glucose	100_100	F16	96	96H	0.1008	236
526	D10	P1	1/2MS	0mM	Water	0_0	F16	96	96H	0.102600001	229
527	D11	P1	1/2MS	0mM	Water	0_0	F16	96	96H	0.101300001	225
528	D12	P1	1/2MS	0mM	Water	0_0	F16	96	96H	0.105599999	227
529	E1	P1	M9	75mM	3OMG	100_0	F16	96	96H	0.095299996	187
530	E2	P1	M9	75mM	3OMG	100_0	F16	96	96H	0.095100001	189
531	E3	P1	M9	75mM	3OMG	100_0	F16	96	96H	0.0986	183
532	E4	P1	M9	75mM	D.Glucose	0_100	F16	96	96H	0.331	562
533	E5	P1	M9	75mM	D.Glucose	0_100	F16	96	96H	0.335700005	580
534	E6	P1	M9	75mM	D.Glucose	0_100	F16	96	96H	0.3292	576
535	E7	P1	M9	75mM	3OMG_D.Glucose	100_100	F16	96	96H	0.361699998	722
536	E8	P1	M9	75mM	3OMG_D.Glucose	100_100	F16	96	96H	0.354600012	695
537	E9	P1	M9	75mM	3OMG_D.Glucose	100_100	F16	96	96H	0.351099998	688
538	E10	P1	M9	75mM	Water	0_0	F16	96	96H	0.0973	187
539	E11	P1	M9	75mM	Water	0_0	F16	96	96H	0.099100001	194
540	E12	P1	M9	75mM	Water	0_0	F16	96	96H	0.103699997	200
541	F1	P1	M9	7.5mM	3OMG	100_0	F16	96	96H	0.090599999	171
542	F2	P1	M9	7.5mM	3OMG	100_0	F16	96	96H	0.093199998	174
543	F3	P1	M9	7.5mM	3OMG	100_0	F16	96	96H	0.092	171
544	F4	P1	M9	7.5mM	D.Glucose	0_100	F16	96	96H	0.369500011	579
545	F5	P1	M9	7.5mM	D.Glucose	0_100	F16	96	96H	0.363999993	571
546	F6	P1	M9	7.5mM	D.Glucose	0_100	F16	96	96H	0.36500001	578
547	F7	P1	M9	7.5mM	3OMG_D.Glucose	100_100	F16	96	96H	0.377999991	604
548	F8	P1	M9	7.5mM	3OMG_D.Glucose	100_100	F16	96	96H	0.382699996	613
549	F9	P1	M9	7.5mM	3OMG_D.Glucose	100_100	F16	96	96H	0.385199994	627
550	F10	P1	M9	7.5mM	Water	0_0	F16	96	96H	0.095799997	193
551	F11	P1	M9	7.5mM	Water	0_0	F16	96	96H	0.095700003	192
552	F12	P1	M9	7.5mM	Water	0_0	F16	96	96H	0.097599998	204
553	G1	P1	M9	0.75mM	3OMG	100_0	F16	96	96H	0.090700001	167
554	G2	P1	M9	0.75mM	3OMG	100_0	F16	96	96H	0.089900002	165
555	G3	P1	M9	0.75mM	3OMG	100_0	F16	96	96H	0.094499998	167
556	G4	P1	M9	0.75mM	D.Glucose	0_100	F16	96	96H	0.119499996	397
557	G5	P1	M9	0.75mM	D.Glucose	0_100	F16	96	96H	0.116400003	376
558	G6	P1	M9	0.75mM	D.Glucose	0_100	F16	96	96H	0.119099997	374
559	G7	P1	M9	0.75mM	3OMG_D.Glucose	100_100	F16	96	96H	0.105300002	413
560	G8	P1	M9	0.75mM	3OMG_D.Glucose	100_100	F16	96	96H	0.108199999	389
561	G9	P1	M9	0.75mM	3OMG_D.Glucose	100_100	F16	96	96H	0.109300002	391
562	G10	P1	M9	0.75mM	Water	0_0	F16	96	96H	0.095399998	188
563	G11	P1	M9	0.75mM	Water	0_0	F16	96	96H	0.097599998	196
564	G12	P1	M9	0.75mM	Water	0_0	F16	96	96H	0.097900003	202
565	H1	P1	M9	0mM	3OMG	100_0	F16	96	96H	0.1021	239
566	H2	P1	M9	0mM	3OMG	100_0	F16	96	96H	0.098200001	199
567	H3	P1	M9	0mM	3OMG	100_0	F16	96	96H	0.097900003	191
568	H4	P1	M9	0mM	D.Glucose	0_100	F16	96	96H	0.0986	190
569	H5	P1	M9	0mM	D.Glucose	0_100	F16	96	96H	0.100299999	194
570	H6	P1	M9	0mM	D.Glucose	0_100	F16	96	96H	0.0995	192
571	H7	P1	M9	0mM	3OMG_D.Glucose	100_100	F16	96	96H	0.1021	204
572	H8	P1	M9	0mM	3OMG_D.Glucose	100_100	F16	96	96H	0.101300001	199
573	H9	P1	M9	0mM	3OMG_D.Glucose	100_100	F16	96	96H	0.099799998	198
574	H10	P1	M9	0mM	Water	0_0	F16	96	96H	0.100000001	197
575	H11	P1	M9	0mM	Water	0_0	F16	96	96H	0.099699996	206
576	H12	P1	M9	0mM	Water	0_0	F16	96	96H	0.0995	202
577	A1	P2	1/2MS	0mM	Water	100_0	MF	96	96H	0.082500003	133
578	A2	P2	1/2MS	0mM	Water	100_0	MF	96	96H	0.081299998	133
579	A3	P2	1/2MS	0mM	Water	100_0	MF	96	96H	0.081699997	136
580	A4	P2	1/2MS	0mM	Water	0_100	MF	96	96H	0.082199998	131
581	A5	P2	1/2MS	0mM	Water	0_100	MF	96	96H	0.080899999	135
582	A6	P2	1/2MS	0mM	Water	0_100	MF	96	96H	0.081500001	143
583	A7	P2	1/2MS	0mM	Water	100_100	MF	96	96H	0.081200004	136
584	A8	P2	1/2MS	0mM	Water	100_100	MF	96	96H	0.0823	136
585	A9	P2	1/2MS	0mM	Water	100_100	MF	96	96H	0.081299998	132
586	A10	P2	1/2MS	0mM	Water	0_0	MF	96	96H	0.0814	134
587	A11	P2	1/2MS	0mM	Water	0_0	MF	96	96H	0.0814	132
588	A12	P2	1/2MS	0mM	Water	0_0	MF	96	96H	0.081299998	138
589	B1	P2	M9	0mM	Water	100_0	MF	96	96H	0.084600002	120
590	B2	P2	M9	0mM	Water	100_0	MF	96	96H	0.0845	117
591	B3	P2	M9	0mM	Water	100_0	MF	96	96H	0.083700001	117
592	B4	P2	M9	0mM	Water	0_100	MF	96	96H	0.084700003	119
593	B5	P2	M9	0mM	Water	0_100	MF	96	96H	0.083800003	118
594	B6	P2	M9	0mM	Water	0_100	MF	96	96H	0.083800003	117
595	B7	P2	M9	0mM	Water	100_100	MF	96	96H	0.083499998	118
596	B8	P2	M9	0mM	Water	100_100	MF	96	96H	0.083899997	117
597	B9	P2	M9	0mM	Water	100_100	MF	96	96H	0.084200002	118
598	B10	P2	M9	0mM	Water	0_0	MF	96	96H	0.083999999	121
599	B11	P2	M9	0mM	Water	0_0	MF	96	96H	0.085199997	119
600	B12	P2	M9	0mM	Water	0_0	MF	96	96H	0.083300002	116
601	A1	P1	1/2MS	75mM	3OMG	100_0	F16	120	120H	0.101099998	189
602	A2	P1	1/2MS	75mM	3OMG	100_0	F16	120	120H	0.099299997	187
603	A3	P1	1/2MS	75mM	3OMG	100_0	F16	120	120H	0.098899998	185
604	A4	P1	1/2MS	75mM	D.Glucose	0_100	F16	120	120H	0.363799989	1287
605	A5	P1	1/2MS	75mM	D.Glucose	0_100	F16	120	120H	0.315699995	1221
606	A6	P1	1/2MS	75mM	D.Glucose	0_100	F16	120	120H	0.325599998	1220
607	A7	P1	1/2MS	75mM	3OMG_D.Glucose	100_100	F16	120	120H	0.3662	1244
608	A8	P1	1/2MS	75mM	3OMG_D.Glucose	100_100	F16	120	120H	0.495099992	1415
609	A9	P1	1/2MS	75mM	3OMG_D.Glucose	100_100	F16	120	120H	0.396299988	1344
610	A10	P1	1/2MS	75mM	Water	0_0	F16	120	120H	0.109300002	217
611	A11	P1	1/2MS	75mM	Water	0_0	F16	120	120H	0.109099999	214
612	A12	P1	1/2MS	75mM	Water	0_0	F16	120	120H	0.108499996	215
613	B1	P1	1/2MS	7.5mM	3OMG	100_0	F16	120	120H	0.093599997	147
614	B2	P1	1/2MS	7.5mM	3OMG	100_0	F16	120	120H	0.096699998	152
615	B3	P1	1/2MS	7.5mM	3OMG	100_0	F16	120	120H	0.1083	157
616	B4	P1	1/2MS	7.5mM	D.Glucose	0_100	F16	120	120H	0.213	993
617	B5	P1	1/2MS	7.5mM	D.Glucose	0_100	F16	120	120H	0.210299999	1012
618	B6	P1	1/2MS	7.5mM	D.Glucose	0_100	F16	120	120H	0.215499997	1134
619	B7	P1	1/2MS	7.5mM	3OMG_D.Glucose	100_100	F16	120	120H	0.217500001	1186
620	B8	P1	1/2MS	7.5mM	3OMG_D.Glucose	100_100	F16	120	120H	0.210099995	1143
621	B9	P1	1/2MS	7.5mM	3OMG_D.Glucose	100_100	F16	120	120H	0.2104	1168
622	B10	P1	1/2MS	7.5mM	Water	0_0	F16	120	120H	0.115500003	214
623	B11	P1	1/2MS	7.5mM	Water	0_0	F16	120	120H	0.117399998	208
624	B12	P1	1/2MS	7.5mM	Water	0_0	F16	120	120H	0.108000003	209
625	C1	P1	1/2MS	0.75mM	3OMG	100_0	F16	120	120H	0.090999998	144
626	C2	P1	1/2MS	0.75mM	3OMG	100_0	F16	120	120H	0.101199999	150
627	C3	P1	1/2MS	0.75mM	3OMG	100_0	F16	120	120H	0.1105	156
628	C4	P1	1/2MS	0.75mM	D.Glucose	0_100	F16	120	120H	0.130899996	562
629	C5	P1	1/2MS	0.75mM	D.Glucose	0_100	F16	120	120H	0.130199999	522
630	C6	P1	1/2MS	0.75mM	D.Glucose	0_100	F16	120	120H	0.1294	519
631	C7	P1	1/2MS	0.75mM	3OMG_D.Glucose	100_100	F16	120	120H	0.109200001	479
632	C8	P1	1/2MS	0.75mM	3OMG_D.Glucose	100_100	F16	120	120H	0.111400001	470
633	C9	P1	1/2MS	0.75mM	3OMG_D.Glucose	100_100	F16	120	120H	0.118100002	440
634	C10	P1	1/2MS	0.75mM	Water	0_0	F16	120	120H	0.114	214
635	C11	P1	1/2MS	0.75mM	Water	0_0	F16	120	120H	0.116700001	206
636	C12	P1	1/2MS	0.75mM	Water	0_0	F16	120	120H	0.104999997	212
637	D1	P1	1/2MS	0mM	3OMG	100_0	F16	120	120H	0.108400002	262
638	D2	P1	1/2MS	0mM	3OMG	100_0	F16	120	120H	0.1175	259
639	D3	P1	1/2MS	0mM	3OMG	100_0	F16	120	120H	0.118699998	254
640	D4	P1	1/2MS	0mM	D.Glucose	0_100	F16	120	120H	0.1153	251
