"Compound","KEGG_ID","KEGG_Pathways"
"Putrescine","cpd:C00134","Arginine and proline metabolism; D-Amino acid metabolism; Glutathione metabolism; Tropane, piperidine and pyridine alkaloid biosynthesis; Biosynthesis of various siderophores; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites; ABC transporters; Efferocytosis; Protein digestion and absorption"
"beta-hydroxybutyrate","cpd:C06143","Butanoate metabolism; Metabolic pathways"
"Syringaldehyde",NA,NA
"1,4-Butanediol",NA,NA
"Threitol","cpd:C00265",NA
"Phytol-2",NA,NA
"Sinapinate-trans",NA,NA
"Glutamate","cpd:C00025","Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Carbapenem biosynthesis; Histidine metabolism; Taurine and hypotaurine metabolism; D-Amino acid metabolism; Glutathione metabolism; Neomycin, kanamycin and gentamicin biosynthesis; Glyoxylate and dicarboxylate metabolism; Butanoate metabolism; C5-Branched dibasic acid metabolism; Porphyrin metabolism; Nitrogen metabolism; Aminoacyl-tRNA biosynthesis; Biosynthesis of various siderophores; Biosynthesis of various antibiotics; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; ABC transporters; Two-component system; FoxO signaling pathway; Phospholipase D signaling pathway; Neuroactive ligand-receptor interaction; Neuroactive ligand signaling; Ferroptosis; Gap junction; Circadian entrainment; Long-term potentiation; Synaptic vesicle cycle; Retrograde endocannabinoid signaling; Glutamatergic synapse; GABAergic synapse; Long-term depression; Taste transduction; Proximal tubule bicarbonate reclamation; Protein digestion and absorption; Amyotrophic lateral sclerosis; Huntington disease; Spinocerebellar ataxia; Pathways of neurodegeneration - multiple diseases; Cocaine addiction; Amphetamine addiction; Nicotine addiction; Alcoholism; Prostate cancer; Central carbon metabolism in cancer"
"Agmatine(-NH3)",NA,NA
"2-Oxoglutarate","cpd:C00026","Citrate cycle (TCA cycle); Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Lysine biosynthesis; Lysine degradation; Histidine metabolism; Furfural degradation; Taurine and hypotaurine metabolism; D-Amino acid metabolism; Glyoxylate and dicarboxylate metabolism; Butanoate metabolism; C5-Branched dibasic acid metabolism; Other carbon fixation pathways; Lipoic acid metabolism; Biosynthesis of various other secondary metabolites; Biosynthesis of various antibiotics; Biosynthesis of plant secondary metabolites; Biosynthesis of phenylpropanoids; Biosynthesis of terpenoids and steroids; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of alkaloids derived from histidine and purine; Biosynthesis of alkaloids derived from terpenoid and polyketide; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; HIF-1 signaling pathway; GABAergic synapse; Glucagon signaling pathway; Proximal tubule bicarbonate reclamation; Bile secretion; Central carbon metabolism in cancer"
"3-4-dihydroxy-butanoate",NA,NA
"Pipecolate","cpd:C00408","Lysine degradation; Tropane, piperidine and pyridine alkaloid biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments"
"BenzoylGlucosinolate-3Breakdown",NA,NA
"3-hydroxyadipate",NA,NA
"Nonanenitrile-9-methylthio",NA,NA
"Neohesperidin","cpd:C09806","Flavonoid biosynthesis"
"Dehydroascorbate","cpd:C01041","Ascorbate and aldarate metabolism; Metabolic pathways"
"1-3-propanediol",NA,NA
"Shikimate","cpd:C00493","Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of various alkaloids; Biosynthesis of various plant secondary metabolites; Biosynthesis of plant secondary metabolites; Biosynthesis of phenylpropanoids; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids; Biosynthesis of cofactors"
"BenzoylGlucosinolate-2Breakdown",NA,NA
"Eicosanoate",NA,NA
"Docosan-1-ol",NA,NA
"Hydroxypyridine","cpd:C01059","Nicotinate and nicotinamide metabolism; Metabolic pathways; Microbial metabolism in diverse environments"
"beta-Lactate",NA,NA
"Heptanenitrile-7-methylthio",NA,NA
"Stachyose","cpd:C01613","Galactose metabolism; Metabolic pathways"
"Porphine","cpd:C09541","Isoquinoline alkaloid biosynthesis; Biosynthesis of alkaloids derived from shikimate pathway"
"Sinapoyl(trans)-Malate",NA,NA
"2-oxoglutaramate-3",NA,NA
"Pentadecanoate",NA,NA
"Cys","cpd:C00021","Cysteine and methionine metabolism; One carbon pool by folate; Metabolic pathways; Biosynthesis of amino acids; Biosynthesis of cofactors; Folate transport and metabolism; Chemical carcinogenesis - reactive oxygen species"
"Octanedioicacid(subericacid)",NA,NA
"octadecanol",NA,NA
"Adenine-1",NA,NA
"Quinate","cpd:C00296","Phenylalanine, tyrosine and tryptophan biosynthesis; Metabolic pathways"
"Benzoate","cpd:C00108","Tryptophan metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis; Phenazine biosynthesis; Dioxin degradation; Aminobenzoate degradation; Biosynthesis of various alkaloids; Biosynthesis of various other secondary metabolites; Biosynthesis of various antibiotics; Biosynthesis of various plant secondary metabolites; Biosynthesis of plant secondary metabolites; Biosynthesis of phenylpropanoids; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Degradation of aromatic compounds; Biosynthesis of amino acids; Benzoic acid family"
"Urea","cpd:C00086","Arginine biosynthesis; Purine metabolism; Pyrimidine metabolism; Arginine and proline metabolism; Biotin metabolism; Atrazine degradation; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; ABC transporters; Epithelial cell signaling in Helicobacter pylori infection"
"2-Hydroxysuccinamate",NA,NA
"5-(methylthio)pentanenitrile",NA,NA
"Sorbitol","cpd:C00794","Fructose and mannose metabolism; Galactose metabolism; Metabolic pathways; ABC transporters; Phosphotransferase system (PTS); Diabetic cardiomyopathy"
"Ascorbate","cpd:C00072","Ascorbate and aldarate metabolism; Glutathione metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Biosynthesis of cofactors; Phosphotransferase system (PTS); HIF-1 signaling pathway; Vitamin digestion and absorption"
"Pentaerythritol","cpd:C19199",NA
"Dehydroascorbate","cpd:C01041","Ascorbate and aldarate metabolism; Metabolic pathways"
"O-Acetyl-serine",NA,NA
"delta-5-Avenasterol",NA,NA
"Arg","cpd:C00062","Arginine biosynthesis; Monobactam biosynthesis; Arginine and proline metabolism; Clavulanic acid biosynthesis; D-Amino acid metabolism; Aminoacyl-tRNA biosynthesis; Biosynthesis of various antibiotics; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids; ABC transporters; Efferocytosis; mTOR signaling pathway; Protein digestion and absorption; Amyotrophic lateral sclerosis; Pathways of neurodegeneration - multiple diseases; Chagas disease; Amoebiasis; Central carbon metabolism in cancer"
"Hexonate","cpd:C01223",NA
"Glutamate","cpd:C00025","Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Carbapenem biosynthesis; Histidine metabolism; Taurine and hypotaurine metabolism; D-Amino acid metabolism; Glutathione metabolism; Neomycin, kanamycin and gentamicin biosynthesis; Glyoxylate and dicarboxylate metabolism; Butanoate metabolism; C5-Branched dibasic acid metabolism; Porphyrin metabolism; Nitrogen metabolism; Aminoacyl-tRNA biosynthesis; Biosynthesis of various siderophores; Biosynthesis of various antibiotics; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; ABC transporters; Two-component system; FoxO signaling pathway; Phospholipase D signaling pathway; Neuroactive ligand-receptor interaction; Neuroactive ligand signaling; Ferroptosis; Gap junction; Circadian entrainment; Long-term potentiation; Synaptic vesicle cycle; Retrograde endocannabinoid signaling; Glutamatergic synapse; GABAergic synapse; Long-term depression; Taste transduction; Proximal tubule bicarbonate reclamation; Protein digestion and absorption; Amyotrophic lateral sclerosis; Huntington disease; Spinocerebellar ataxia; Pathways of neurodegeneration - multiple diseases; Cocaine addiction; Amphetamine addiction; Nicotine addiction; Alcoholism; Prostate cancer; Central carbon metabolism in cancer"
"Linoleicacid",NA,NA
"Asn","cpd:C01410",NA
"Tetracosanoate",NA,NA
"Gluconate-d-lactone",NA,NA
"Galactinol","cpd:C01235","Galactose metabolism; Metabolic pathways"
"Octanenitrile-8-methylthio",NA,NA
"Glycolate","cpd:C00160","Chlorocyclohexane and chlorobenzene degradation; Chloroalkane and chloroalkene degradation; Glyoxylate and dicarboxylate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism"
"Glucopyranose","cpd:C00031","Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Galactose metabolism; Mycolic acid biosynthesis; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism; Streptomycin biosynthesis; Neomycin, kanamycin and gentamicin biosynthesis; Sulfoquinovose metabolism; Indole alkaloid biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; ABC transporters; Two-component system; Phosphotransferase system (PTS); HIF-1 signaling pathway; FoxO signaling pathway; Meiosis - yeast; Efferocytosis; AMPK signaling pathway; Taste transduction; Insulin signaling pathway; Insulin secretion; Prolactin signaling pathway; Glucagon signaling pathway; Type II diabetes mellitus; Insulin resistance; Non-alcoholic fatty liver disease; AGE-RAGE signaling pathway in diabetic complications; Carbohydrate digestion and absorption; Bile secretion; Mineral absorption; Biofilm formation - Vibrio cholerae; Central carbon metabolism in cancer; Diabetic cardiomyopathy"
"1,2,3-Propanetriol,1-(4-hydroxy-3-methoxyphenyl)",NA,NA
"Alanine","cpd:C00041","Alanine, aspartate and glutamate metabolism; Cysteine and methionine metabolism; Taurine and hypotaurine metabolism; Selenocompound metabolism; D-Amino acid metabolism; Carbon fixation by Calvin cycle; Aminoacyl-tRNA biosynthesis; Biosynthesis of various other secondary metabolites; Biosynthesis of plant secondary metabolites; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Vancomycin resistance; ABC transporters; Sulfur relay system; Protein digestion and absorption; Mineral absorption; Central carbon metabolism in cancer"
"GHB",NA,NA
"Oleicacid",NA,NA
"Trehalose","cpd:C00689","Starch and sucrose metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Phosphotransferase system (PTS); Retrograde endocannabinoid signaling"
"Gln","cpd:C01640",NA
"Ethanolamine-P",NA,NA
"Palmiticacid",NA,NA
"4-methylbenzoate",NA,NA
"Glycerol-2-P",NA,NA
"3-4-5-Trihydroxypentanoate",NA,NA
"4MTB",NA,NA
"Glucose-6-P",NA,NA
"Isomaltose","cpd:C00252","Starch and sucrose metabolism; Metabolic pathways"
"bis-glycerol-P",NA,NA
"Asn","cpd:C01410",NA
"Aminomalonate","cpd:C00872",NA
"Tyrosine","cpd:C00082","Ubiquinone and other terpenoid-quinone biosynthesis; Monobactam biosynthesis; Tyrosine metabolism; Phenylalanine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis; Novobiocin biosynthesis; Cyanoamino acid metabolism; Methane metabolism; Thiamine metabolism; Phenylpropanoid biosynthesis; Isoquinoline alkaloid biosynthesis; Betalain biosynthesis; Glucosinolate biosynthesis; Aminoacyl-tRNA biosynthesis; Biosynthesis of various other secondary metabolites; Biosynthesis of various antibiotics; Biosynthesis of various plant secondary metabolites; Biosynthesis of vancomycin group antibiotics; Biosynthesis of enediyne antibiotics; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from shikimate pathway; Metabolic pathways; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; Dopaminergic synapse; Melanogenesis; Prolactin signaling pathway; Protein digestion and absorption; Parkinson disease; Cocaine addiction; Amphetamine addiction; Alcoholism; Central carbon metabolism in cancer"
"Linolenicacid",NA,NA
"UGlucosinolatebreakdown140",NA,NA
"Alcenenitrile",NA,NA
"BenzoylX-Glucosinolate-3",NA,NA
"Maleate","cpd:C00922","Nicotinate and nicotinamide metabolism; Microbial metabolism in diverse environments"
"Asn","cpd:C01410",NA
"5-Hydroxynorvaline",NA,NA
"Tetradecanoate","cpd:C06424","Fatty acid biosynthesis; Metabolic pathways"
"Arbutin","cpd:C06186","Glycolysis / Gluconeogenesis; Phosphotransferase system (PTS)"
"2-desoxypentitol",NA,NA
"Asn","cpd:C01410",NA
"anhydroglucose","cpd:C06478",NA
"Squalene","cpd:C00751","Steroid biosynthesis; Sesquiterpenoid and triterpenoid biosynthesis; Biosynthesis of various alkaloids; Biosynthesis of various plant secondary metabolites; Biosynthesis of plant secondary metabolites; Biosynthesis of terpenoids and steroids; Biosynthesis of alkaloids derived from terpenoid and polyketide; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites"
"Sinigrin","cpd:C08427",NA
"Decanoate","cpd:C00249","Fatty acid biosynthesis; Fatty acid elongation; Fatty acid degradation; Cutin, suberine and wax biosynthesis; Glycosylphosphatidylinositol (GPI)-anchor biosynthesis; Biosynthesis of unsaturated fatty acids; Biosynthesis of plant secondary metabolites; Metabolic pathways; Fatty acid metabolism"
"Butylamine","cpd:C02787",NA
"2-4-dihydroxybutanoate",NA,NA
"Nonanoate","cpd:C01037","Biotin metabolism; Metabolic pathways; Biosynthesis of cofactors"
"Lactate","cpd:C00186","Glycolysis / Gluconeogenesis; Fructose and mannose metabolism; Pyruvate metabolism; Propanoate metabolism; Styrene degradation; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; cAMP signaling pathway; HIF-1 signaling pathway; Efferocytosis; Glucagon signaling pathway; Central carbon metabolism in cancer"
"Gluconate-6-P",NA,NA
"Tryptophan","cpd:C00078","Glycine, serine and threonine metabolism; Tryptophan metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis; Staurosporine biosynthesis; Indole alkaloid biosynthesis; Glucosinolate biosynthesis; Aminoacyl-tRNA biosynthesis; Biosynthesis of various alkaloids; Biosynthesis of various other secondary metabolites; Biosynthesis of various plant secondary metabolites; Biosynthesis of plant secondary metabolites; Biosynthesis of phenylpropanoids; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; Axon regeneration; Serotonergic synapse; Protein digestion and absorption; Mineral absorption; African trypanosomiasis; Central carbon metabolism in cancer"
"Homoserine","cpd:C00263","Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Lysine biosynthesis; Sulfur metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Biosynthesis of amino acids"
"Docosanoate","cpd:C03049",NA
"Parahydroxybenzoate","cpd:C14393",NA
"Pentofuranoside",NA,NA
"Azelaicacid",NA,NA
"Threonate-lactone",NA,NA
"Mannitol","cpd:C00392","Fructose and mannose metabolism; Metabolic pathways; ABC transporters; Phosphotransferase system (PTS)"
"Quercitrin","cpd:C01750","Flavone and flavonol biosynthesis"
"Heptadecanoate","cpd:C21446",NA
"Glutarate","cpd:C00026","Citrate cycle (TCA cycle); Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Lysine biosynthesis; Lysine degradation; Histidine metabolism; Furfural degradation; Taurine and hypotaurine metabolism; D-Amino acid metabolism; Glyoxylate and dicarboxylate metabolism; Butanoate metabolism; C5-Branched dibasic acid metabolism; Other carbon fixation pathways; Lipoic acid metabolism; Biosynthesis of various other secondary metabolites; Biosynthesis of various antibiotics; Biosynthesis of plant secondary metabolites; Biosynthesis of phenylpropanoids; Biosynthesis of terpenoids and steroids; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of alkaloids derived from histidine and purine; Biosynthesis of alkaloids derived from terpenoid and polyketide; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; HIF-1 signaling pathway; GABAergic synapse; Glucagon signaling pathway; Proximal tubule bicarbonate reclamation; Bile secretion; Central carbon metabolism in cancer"
"4-Hydroxy-benzaldehyde",NA,NA
"11-Eicosenoicacid",NA,NA
"Serine","cpd:C00065","Glycine, serine and threonine metabolism; Monobactam biosynthesis; Cysteine and methionine metabolism; Cyanoamino acid metabolism; D-Amino acid metabolism; Glycerophospholipid metabolism; Sphingolipid metabolism; Glyoxylate and dicarboxylate metabolism; One carbon pool by folate; Methane metabolism; Sulfur metabolism; Aminoacyl-tRNA biosynthesis; Biosynthesis of various siderophores; Biosynthesis of various antibiotics; Nonribosomal peptide structures; Biosynthesis of plant secondary metabolites; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; Vancomycin resistance; ABC transporters; Sphingolipid signaling pathway; Protein digestion and absorption; Mineral absorption; Central carbon metabolism in cancer"
"Triethylamine","cpd:C14691",NA
"Oxalate","cpd:C00048","Purine metabolism; Caffeine metabolism; Glycine, serine and threonine metabolism; Arginine and proline metabolism; Chloroalkane and chloroalkene degradation; Glyoxylate and dicarboxylate metabolism; C5-Branched dibasic acid metabolism; Methane metabolism; Other carbon fixation pathways; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism"
"Nicotinate","cpd:C00253","Nicotinate and nicotinamide metabolism; Tropane, piperidine and pyridine alkaloid biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Biosynthesis of cofactors; Pertussis"
"Sucrose","cpd:C00089","Galactose metabolism; Starch and sucrose metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; ABC transporters; Phosphotransferase system (PTS); Taste transduction; Carbohydrate digestion and absorption"
"levulinate","cpd:C00430","Glycine, serine and threonine metabolism; Porphyrin metabolism; Biosynthesis of plant secondary metabolites; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Biosynthesis of cofactors; ABC transporters"
"Dodecanedioicacid",NA,NA
"Hexanenitrile-6methylthio",NA,NA
"Hexacosanoate",NA,NA
"delta-Tocopherol","cpd:C14151","Ubiquinone and other terpenoid-quinone biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of cofactors"
"Arg","cpd:C00062","Arginine biosynthesis; Monobactam biosynthesis; Arginine and proline metabolism; Clavulanic acid biosynthesis; D-Amino acid metabolism; Aminoacyl-tRNA biosynthesis; Biosynthesis of various antibiotics; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids; ABC transporters; Efferocytosis; mTOR signaling pathway; Protein digestion and absorption; Amyotrophic lateral sclerosis; Pathways of neurodegeneration - multiple diseases; Chagas disease; Amoebiasis; Central carbon metabolism in cancer"
"Adenosine-5-P",NA,NA
"Dehydroascorbate","cpd:C01041","Ascorbate and aldarate metabolism; Metabolic pathways"
"2-pyrrolidone","cpd:C19548",NA
"Salicylate","cpd:C00805","Dioxin degradation; Polycyclic aromatic hydrocarbon degradation; Naphthalene degradation; Biosynthesis of various alkaloids; Biosynthesis of siderophore group nonribosomal peptides; Biosynthesis of phenylpropanoids; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Degradation of aromatic compounds; Plant hormone signal transduction; Bile secretion"
"7MTH",NA,NA
"Malonate3tms",NA,NA
"UGlucosinolate140-1",NA,NA
"Gln","cpd:C01640",NA
"2-(N-morpholino)ethanesulfonic",NA,NA
"dihydroxybenzoate","cpd:C00196","Benzoate degradation; Aminobenzoate degradation; Biosynthesis of siderophore group nonribosomal peptides; Biosynthesis of phenylpropanoids; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments"
"Syringicacid",NA,NA
"Ethylamine","cpd:C00189","Glycerophospholipid metabolism; Metabolic pathways; Retrograde endocannabinoid signaling"
"Lys","cpd:C00047","Lysine biosynthesis; Lysine degradation; D-Amino acid metabolism; Biotin metabolism; Tropane, piperidine and pyridine alkaloid biosynthesis; Aminoacyl-tRNA biosynthesis; Biosynthesis of various siderophores; Biosynthesis of various other secondary metabolites; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; ABC transporters; Protein digestion and absorption"
"Guanosine2",NA,NA
"S-(5'-Adenosyl)-L-methionine",NA,NA
"Tyrosine","cpd:C00082","Ubiquinone and other terpenoid-quinone biosynthesis; Monobactam biosynthesis; Tyrosine metabolism; Phenylalanine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis; Novobiocin biosynthesis; Cyanoamino acid metabolism; Methane metabolism; Thiamine metabolism; Phenylpropanoid biosynthesis; Isoquinoline alkaloid biosynthesis; Betalain biosynthesis; Glucosinolate biosynthesis; Aminoacyl-tRNA biosynthesis; Biosynthesis of various other secondary metabolites; Biosynthesis of various antibiotics; Biosynthesis of various plant secondary metabolites; Biosynthesis of vancomycin group antibiotics; Biosynthesis of enediyne antibiotics; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from shikimate pathway; Metabolic pathways; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; Dopaminergic synapse; Melanogenesis; Prolactin signaling pathway; Protein digestion and absorption; Parkinson disease; Cocaine addiction; Amphetamine addiction; Alcoholism; Central carbon metabolism in cancer"
"Aspartate","cpd:C00049","Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Glycine, serine and threonine metabolism; Monobactam biosynthesis; Cysteine and methionine metabolism; Lysine biosynthesis; Histidine metabolism; beta-Alanine metabolism; Cyanoamino acid metabolism; D-Amino acid metabolism; Glyoxylate and dicarboxylate metabolism; Carbon fixation by Calvin cycle; Nicotinate and nicotinamide metabolism; Pantothenate and CoA biosynthesis; Aminoacyl-tRNA biosynthesis; Biosynthesis of various other secondary metabolites; Biosynthesis of various antibiotics; Biosynthesis of various plant secondary metabolites; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; ABC transporters; Two-component system; Bacterial chemotaxis; Neuroactive ligand-receptor interaction; Protein digestion and absorption; Central carbon metabolism in cancer"
"Glycerate-3-P",NA,NA
"Asn","cpd:C01410",NA
"N-acetylhexosamine","cpd:C02711",NA
"Urea","cpd:C00086","Arginine biosynthesis; Purine metabolism; Pyrimidine metabolism; Arginine and proline metabolism; Biotin metabolism; Atrazine degradation; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; ABC transporters; Epithelial cell signaling in Helicobacter pylori infection"
"Urate","cpd:C00366","Purine metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Bile secretion"
"BenzoylX-glucosinolate-1",NA,NA
"Vanillicacid",NA,NA
"a-Aminoadipate","cpd:C00956","Lysine biosynthesis; Lysine degradation; Penicillin and cephalosporin biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids"
"Gln","cpd:C01640",NA
"6MTH",NA,NA
"Allantoin","cpd:C01551",NA
"Guanine","cpd:C00242","Purine metabolism; Metabolic pathways; Nucleotide metabolism"
"5MTP",NA,NA
"Cholesterol","cpd:C00187","Steroid biosynthesis; Primary bile acid biosynthesis; Steroid hormone biosynthesis; Insect hormone biosynthesis; Steroid degradation; Biosynthesis of various alkaloids; Biosynthesis of alkaloids derived from terpenoid and polyketide; Metabolic pathways; Microbial metabolism in diverse environments; Efferocytosis; Cornified envelope formation; Ovarian steroidogenesis; Aldosterone synthesis and secretion; Cortisol synthesis and secretion; Cushing syndrome; Fat digestion and absorption; Bile secretion; Vitamin digestion and absorption; Cholesterol metabolism; Pathways in cancer; Basal cell carcinoma; Lipid and atherosclerosis"
"Gln","cpd:C01640",NA
"Hydroquinone","cpd:C00530","Tyrosine metabolism; Chlorocyclohexane and chlorobenzene degradation; Benzoate degradation; Bisphenol degradation; Aminobenzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments; Chemical carcinogenesis - reactive oxygen species"
"Allantoin","cpd:C01551",NA
"Urea-2",NA,NA
"Laurate",NA,NA
"Gln","cpd:C01640",NA
"caffeate","cpd:C01197","Phenylpropanoid biosynthesis; Biosynthesis of various alkaloids; Biosynthesis of phenylpropanoids; Metabolic pathways; Biosynthesis of secondary metabolites; Degradation of aromatic compounds"
"Quercetin","cpd:C00389","Flavonoid biosynthesis; Flavone and flavonol biosynthesis; Degradation of flavonoids; Metabolic pathways; Biosynthesis of secondary metabolites; AMPK signaling pathway"
"Uridine","cpd:C00015","Pyrimidine metabolism; Zeatin biosynthesis; Metabolic pathways; Nucleotide metabolism; Biosynthesis of cofactors; Neuroactive ligand-receptor interaction; Neuroactive ligand signaling"
"Adipate","cpd:C00322","Lysine biosynthesis; Lysine degradation; Tryptophan metabolism; Methane metabolism; Lipoic acid metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors"
"Ferulate-trans",NA,NA
"Lys","cpd:C00047","Lysine biosynthesis; Lysine degradation; D-Amino acid metabolism; Biotin metabolism; Tropane, piperidine and pyridine alkaloid biosynthesis; Aminoacyl-tRNA biosynthesis; Biosynthesis of various siderophores; Biosynthesis of various other secondary metabolites; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; ABC transporters; Protein digestion and absorption"
"Kaempferol","cpd:C00974","Flavonoid biosynthesis; Degradation of flavonoids; Biosynthesis of phenylpropanoids; Metabolic pathways; Biosynthesis of secondary metabolites"
