ID,Organism,Treatment,Carbon_source,Bio_Rep,Tech_Rep,Microbial_growth,Time_Points
F16_Water_1/2 MS + Carboxymethylcellulose_2_3_D07,F16,Water,1/2MS+Carboxymethylcellulose,3,3,13.294,D07
F16_3OMG_1/2 MS + Carboxymethylcellulose_2_1_D07,F16,3OMG,1/2MS+Carboxymethylcellulose,3,1,9.597,D07
F16_3OMG_1/2 MS + Carboxymethylcellulose_2_2_D07,F16,3OMG,1/2MS+Carboxymethylcellulose,3,2,8.62,D07
F16_3OMG_1/2 MS + Carboxymethylcellulose_2_3_D07,F16,3OMG,1/2MS+Carboxymethylcellulose,3,3,8.359,D07
F16_Water_1/2 MS + Galactose_2_1_D03,F16,Water,1/2MS+Galactose,3,1,1.686,D03
F16_Water_1/2 MS + Galactose_2_2_D03,F16,Water,1/2MS+Galactose,3,2,1.58,D03
F16_Water_1/2 MS + Galactose_2_3_D03,F16,Water,1/2MS+Galactose,3,3,1.753,D03
F16_3OMG_1/2 MS + Galactose_2_1_D03,F16,3OMG,1/2MS+Galactose,3,1,1.757,D03
F16_3OMG_1/2 MS + Galactose_2_2_D03,F16,3OMG,1/2MS+Galactose,3,2,1.513,D03
F16_3OMG_1/2 MS + Galactose_2_3_D03,F16,3OMG,1/2MS+Galactose,3,3,1.676,D03
F16_Water_1/2 MS + Galactose_2_1_D07,F16,Water,1/2MS+Galactose,3,1,6.366,D07
F16_Water_1/2 MS + Galactose_2_2_D07,F16,Water,1/2MS+Galactose,3,2,6.002,D07
F16_Water_1/2 MS + Galactose_2_3_D07,F16,Water,1/2MS+Galactose,3,3,6.405,D07
F16_3OMG_1/2 MS + Galactose_2_1_D07,F16,3OMG,1/2MS+Galactose,3,1,7.178,D07
F16_3OMG_1/2 MS + Galactose_2_2_D07,F16,3OMG,1/2MS+Galactose,3,2,6.31,D07
F16_3OMG_1/2 MS + Galactose_2_3_D07,F16,3OMG,1/2MS+Galactose,3,3,6.758,D07
F16_Water_1/2 MS + Glucose_2_1_D03,F16,Water,1/2MS+Glucose,3,1,2.164,D03
F16_Water_1/2 MS + Glucose_2_2_D03,F16,Water,1/2MS+Glucose,3,2,2.138,D03
F16_Water_1/2 MS + Glucose_2_3_D03,F16,Water,1/2MS+Glucose,3,3,2.154,D03
F16_3OMG_1/2 MS + Glucose_2_1_D03,F16,3OMG,1/2MS+Glucose,3,1,2.147,D03
F16_3OMG_1/2 MS + Glucose_2_2_D03,F16,3OMG,1/2MS+Glucose,3,2,2.05,D03
F16_3OMG_1/2 MS + Glucose_2_3_D03,F16,3OMG,1/2MS+Glucose,3,3,1.954,D03
F16_Water_1/2 MS + Glucose_2_1_D07,F16,Water,1/2MS+Glucose,3,1,11.652,D07
F16_Water_1/2 MS + Glucose_2_2_D07,F16,Water,1/2MS+Glucose,3,2,10.825,D07
F16_Water_1/2 MS + Glucose_2_3_D07,F16,Water,1/2MS+Glucose,3,3,10.881,D07
F16_3OMG_1/2 MS + Glucose_2_1_D07,F16,3OMG,1/2MS+Glucose,3,1,10.287,D07
F16_3OMG_1/2 MS + Glucose_2_2_D07,F16,3OMG,1/2MS+Glucose,3,2,11.683,D07
F16_3OMG_1/2 MS + Glucose_2_3_D07,F16,3OMG,1/2MS+Glucose,3,3,10.842,D07
F16_Water_1/2 MS + Mannose_2_1_D03,F16,Water,1/2MS+Mannose,3,1,1.974,D03
F16_Water_1/2 MS + Mannose_2_2_D03,F16,Water,1/2MS+Mannose,3,2,1.738,D03
F16_Water_1/2 MS + Mannose_2_3_D03,F16,Water,1/2MS+Mannose,3,3,1.684,D03
F16_3OMG_1/2 MS + Mannose_2_1_D03,F16,3OMG,1/2MS+Mannose,3,1,1.809,D03
F16_3OMG_1/2 MS + Mannose_2_2_D03,F16,3OMG,1/2MS+Mannose,3,2,1.974,D03
F16_3OMG_1/2 MS + Mannose_2_3_D03,F16,3OMG,1/2MS+Mannose,3,3,1.705,D03
F16_Water_1/2 MS + Mannose_2_1_D07,F16,Water,1/2MS+Mannose,3,1,9.567,D07
F16_Water_1/2 MS + Mannose_2_2_D07,F16,Water,1/2MS+Mannose,3,2,9.162,D07
F16_Water_1/2 MS + Mannose_2_3_D07,F16,Water,1/2MS+Mannose,3,3,8.802,D07
F16_3OMG_1/2 MS + Mannose_2_1_D07,F16,3OMG,1/2MS+Mannose,3,1,8.855,D07
F16_3OMG_1/2 MS + Mannose_2_2_D07,F16,3OMG,1/2MS+Mannose,3,2,9.323,D07
F16_3OMG_1/2 MS + Mannose_2_3_D07,F16,3OMG,1/2MS+Mannose,3,3,8.729,D07
F16_Water_1/2 MS + Pectin_2_1_D03,F16,Water,1/2MS+Pectin,3,1,2.423,D03
F16_Water_1/2 MS + Pectin_2_2_D03,F16,Water,1/2MS+Pectin,3,2,2.084,D03
F16_Water_1/2 MS + Pectin_2_3_D03,F16,Water,1/2MS+Pectin,3,3,2.547,D03
F16_3OMG_1/2 MS + Pectin_2_1_D03,F16,3OMG,1/2MS+Pectin,3,1,1.831,D03
F16_3OMG_1/2 MS + Pectin_2_2_D03,F16,3OMG,1/2MS+Pectin,3,2,1.448,D03
F16_3OMG_1/2 MS + Pectin_2_3_D03,F16,3OMG,1/2MS+Pectin,3,3,1.942,D03
F16_Water_1/2 MS + Pectin_2_1_D07,F16,Water,1/2MS+Pectin,3,1,17.711,D07
F16_Water_1/2 MS + Pectin_2_2_D07,F16,Water,1/2MS+Pectin,3,2,20.037,D07
F16_Water_1/2 MS + Pectin_2_3_D07,F16,Water,1/2MS+Pectin,3,3,17.379,D07
F16_3OMG_1/2 MS + Pectin_2_1_D07,F16,3OMG,1/2MS+Pectin,3,1,12.851,D07
F16_3OMG_1/2 MS + Pectin_2_2_D07,F16,3OMG,1/2MS+Pectin,3,2,12.921,D07
F16_3OMG_1/2 MS + Pectin_2_3_D07,F16,3OMG,1/2MS+Pectin,3,3,14.859,D07
F16_Water_1/2 MS + Starch_2_1_D03,F16,Water,1/2MS+Starch,3,1,2.439,D03
F16_Water_1/2 MS + Starch_2_2_D03,F16,Water,1/2MS+Starch,3,2,2.501,D03
F16_Water_1/2 MS + Starch_2_3_D03,F16,Water,1/2MS+Starch,3,3,2.337,D03
F16_3OMG_1/2 MS + Starch_2_1_D03,F16,3OMG,1/2MS+Starch,3,1,1.979,D03
F16_3OMG_1/2 MS + Starch_2_2_D03,F16,3OMG,1/2MS+Starch,3,2,1.87,D03
F16_3OMG_1/2 MS + Starch_2_3_D03,F16,3OMG,1/2MS+Starch,3,3,1.997,D03
F16_Water_1/2 MS + Starch_2_1_D07,F16,Water,1/2MS+Starch,3,1,11.762,D07
F16_Water_1/2 MS + Starch_2_2_D07,F16,Water,1/2MS+Starch,3,2,12.215,D07
F16_Water_1/2 MS + Starch_2_3_D07,F16,Water,1/2MS+Starch,3,3,11.625,D07
F16_3OMG_1/2 MS + Starch_2_1_D07,F16,3OMG,1/2MS+Starch,3,1,10.975,D07
F16_3OMG_1/2 MS + Starch_2_2_D07,F16,3OMG,1/2MS+Starch,3,2,11.154,D07
F16_3OMG_1/2 MS + Starch_2_3_D07,F16,3OMG,1/2MS+Starch,3,3,10.902,D07
F16_Water_1/2 MS + Xylan_2_1_D03,F16,Water,1/2MS+Xylan,3,1,1.901,D03
F16_Water_1/2 MS + Xylan_2_2_D03,F16,Water,1/2MS+Xylan,3,2,1.807,D03
F16_Water_1/2 MS + Xylan_2_3_D03,F16,Water,1/2MS+Xylan,3,3,2.046,D03
F16_3OMG_1/2 MS + Xylan_2_1_D03,F16,3OMG,1/2MS+Xylan,3,1,1.933,D03
F16_3OMG_1/2 MS + Xylan_2_2_D03,F16,3OMG,1/2MS+Xylan,3,2,1.703,D03
F16_3OMG_1/2 MS + Xylan_2_3_D03,F16,3OMG,1/2MS+Xylan,3,3,1.881,D03
F16_Water_1/2 MS + Xylan_2_1_D07,F16,Water,1/2MS+Xylan,3,1,11.311,D07
F16_Water_1/2 MS + Xylan_2_2_D07,F16,Water,1/2MS+Xylan,3,2,9.184,D07
F16_Water_1/2 MS + Xylan_2_3_D07,F16,Water,1/2MS+Xylan,3,3,9.313,D07
F16_3OMG_1/2 MS + Xylan_2_1_D07,F16,3OMG,1/2MS+Xylan,3,1,10.259,D07
F16_3OMG_1/2 MS + Xylan_2_2_D07,F16,3OMG,1/2MS+Xylan,3,2,10.817,D07
F16_3OMG_1/2 MS + Xylan_2_3_D07,F16,3OMG,1/2MS+Xylan,3,3,9.18,D07
F16_Water_1/2 MS + Xylose_2_1_D03,F16,Water,1/2MS+Xylose,3,1,1.914,D03
F16_Water_1/2 MS + Xylose_2_2_D03,F16,Water,1/2MS+Xylose,3,2,2.061,D03
F16_Water_1/2 MS + Xylose_2_3_D03,F16,Water,1/2MS+Xylose,3,3,1.842,D03
F16_3OMG_1/2 MS + Xylose_2_1_D03,F16,3OMG,1/2MS+Xylose,3,1,2.125,D03
F16_3OMG_1/2 MS + Xylose_2_2_D03,F16,3OMG,1/2MS+Xylose,3,2,2.07,D03
F16_3OMG_1/2 MS + Xylose_2_3_D03,F16,3OMG,1/2MS+Xylose,3,3,1.753,D03
F16_Water_1/2 MS + Xylose_2_1_D07,F16,Water,1/2MS+Xylose,3,1,9.78,D07
F16_Water_1/2 MS + Xylose_2_2_D07,F16,Water,1/2MS+Xylose,3,2,10.225,D07
F16_Water_1/2 MS + Xylose_2_3_D07,F16,Water,1/2MS+Xylose,3,3,10.871,D07
F16_3OMG_1/2 MS + Xylose_2_1_D07,F16,3OMG,1/2MS+Xylose,3,1,9.181,D07
F16_3OMG_1/2 MS + Xylose_2_2_D07,F16,3OMG,1/2MS+Xylose,3,2,11.621,D07
F16_3OMG_1/2 MS + Xylose_2_3_D07,F16,3OMG,1/2MS+Xylose,3,3,10.615,D07
