Rep,Pathogens,Disease,Disease.2,Experiment,Treatment,Date,Foliar.Disk,Sporulation
296,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D9,100
297,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D9,100
298,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D1,80
299,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D1,80
300,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D1,80
301,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D2,80
302,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D2,80
303,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D2,80
304,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D3,100
305,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D3,100
306,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D3,100
307,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D4,100
308,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D4,100
309,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D4,100
310,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D5,100
311,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D5,100
312,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D5,100
313,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D6,100
314,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D6,100
315,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D6,100
316,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D7,100
317,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D7,100
318,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D7,100
319,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D8,100
320,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D8,100
321,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D8,100
322,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D9,100
323,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D9,100
324,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,15mM,04.12.25,D9,100
325,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D1,70
326,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D1,70
327,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D1,80
328,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D2,80
329,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D2,100
330,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D2,100
331,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D3,100
332,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D3,100
333,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D3,100
334,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D4,100
335,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D4,100
336,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D4,100
337,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D5,100
338,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D5,100
339,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D5,100
340,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D6,100
341,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D6,100
342,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D6,100
343,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D7,100
344,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D7,100
345,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D7,100
346,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D8,100
347,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D8,100
348,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D8,100
349,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D9,100
350,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D9,100
351,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,30mM,04.12.25,D9,100
352,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D1,70
353,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D1,80
354,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D1,80
355,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D2,100
356,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D2,100
357,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D2,100
358,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D3,100
359,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D3,100
360,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D3,100
361,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D4,100
362,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D4,100
363,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D4,100
364,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D5,100
365,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D5,100
366,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D5,100
367,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D6,100
368,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D6,100
369,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D6,100
370,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D7,100
371,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D7,100
372,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D7,100
373,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D8,100
374,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D8,100
375,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D8,100
376,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D9,100
377,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D9,100
378,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,75mM,04.12.25,D9,100
379,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,TNT,05.12.25,D1,90
380,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,TNT,05.12.25,D2,85
381,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,TNT,05.12.25,D3,85
382,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,TNT,05.12.25,D4,95
383,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,TNT,05.12.25,D5,80
384,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,TNT,05.12.25,D6,70
385,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,TNT,05.12.25,D7,70
386,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,TNT,05.12.25,D8,
387,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,TNT,05.12.25,D9,
388,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,1.9mM,05.12.25,D1,100
389,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,1.9mM,05.12.25,D2,100
390,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,1.9mM,05.12.25,D3,40
391,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,1.9mM,05.12.25,D4,90
392,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,1.9mM,05.12.25,D5,40
393,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,1.9mM,05.12.25,D6,80
394,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,1.9mM,05.12.25,D7,100
395,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,1.9mM,05.12.25,D8,100
396,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,1.9mM,05.12.25,D9,90
397,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,3.75mM,05.12.25,D1,70
398,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,3.75mM,05.12.25,D2,75
399,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,3.75mM,05.12.25,D3,80
400,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,3.75mM,05.12.25,D4,80
401,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,3.75mM,05.12.25,D5,85
402,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,3.75mM,05.12.25,D6,80
403,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,3.75mM,05.12.25,D7,50
404,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,3.75mM,05.12.25,D8,75
405,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,3.75mM,05.12.25,D9,
406,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,7.5mM,05.12.25,D1,60
407,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,7.5mM,05.12.25,D2,30
408,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,7.5mM,05.12.25,D3,85
409,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,7.5mM,05.12.25,D4,80
410,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,7.5mM,05.12.25,D5,70
411,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,7.5mM,05.12.25,D6,50
412,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,7.5mM,05.12.25,D7,50
413,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,7.5mM,05.12.25,D8,
414,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,7.5mM,05.12.25,D9,
415,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,15mM,05.12.25,D1,100
416,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,15mM,05.12.25,D2,80
417,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,15mM,05.12.25,D3,80
418,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,15mM,05.12.25,D4,90
419,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,15mM,05.12.25,D5,90
420,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,15mM,05.12.25,D6,70
421,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,15mM,05.12.25,D7,85
422,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,15mM,05.12.25,D8,
423,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,15mM,05.12.25,D9,
424,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,30mM,05.12.25,D1,70
425,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,30mM,05.12.25,D2,100
426,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,30mM,05.12.25,D3,50
427,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,30mM,05.12.25,D4,100
428,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,30mM,05.12.25,D5,80
429,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,30mM,05.12.25,D6,85
430,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,30mM,05.12.25,D7,100
431,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,30mM,05.12.25,D8,90
432,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,30mM,05.12.25,D9,
433,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,75mM,05.12.25,D1,100
434,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,75mM,05.12.25,D2,30
435,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,75mM,05.12.25,D3,80
436,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,75mM,05.12.25,D4,25
437,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,75mM,05.12.25,D5,85
438,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,75mM,05.12.25,D6,40
439,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,75mM,05.12.25,D7,65
440,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,75mM,05.12.25,D8,90
441,E.necator,Powdery mildew,E.necator (Powdery mildew),R1,75mM,05.12.25,D9,
442,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,TNT,05.12.25,D1,50
443,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,TNT,05.12.25,D2,80
444,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,TNT,05.12.25,D3,85
445,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,TNT,05.12.25,D4,100
446,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,TNT,05.12.25,D5,50
447,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,TNT,05.12.25,D6,80
448,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,TNT,05.12.25,D7,100
449,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,TNT,05.12.25,D8,85
450,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,TNT,05.12.25,D9,70
451,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,1.9mM,05.12.25,D1,50
452,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,1.9mM,05.12.25,D2,80
453,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,1.9mM,05.12.25,D3,90
454,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,1.9mM,05.12.25,D4,100
455,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,1.9mM,05.12.25,D5,40
456,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,1.9mM,05.12.25,D6,50
457,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,1.9mM,05.12.25,D7,80
458,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,1.9mM,05.12.25,D8,95
459,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,1.9mM,05.12.25,D9,
460,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,3.75mM,05.12.25,D1,50
461,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,3.75mM,05.12.25,D2,80
462,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,3.75mM,05.12.25,D3,85
463,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,3.75mM,05.12.25,D4,100
464,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,3.75mM,05.12.25,D5,20
465,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,3.75mM,05.12.25,D6,80
466,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,3.75mM,05.12.25,D7,100
467,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,3.75mM,05.12.25,D8,85
468,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,3.75mM,05.12.25,D9,70
469,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,7.5mM,05.12.25,D1,80
470,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,7.5mM,05.12.25,D2,70
471,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,7.5mM,05.12.25,D3,30
472,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,7.5mM,05.12.25,D4,30
473,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,7.5mM,05.12.25,D5,65
474,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,7.5mM,05.12.25,D6,100
475,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,7.5mM,05.12.25,D7,100
476,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,7.5mM,05.12.25,D8,80
477,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,7.5mM,05.12.25,D9,50
478,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,15mM,05.12.25,D1,80
479,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,15mM,05.12.25,D2,10
480,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,15mM,05.12.25,D3,40
481,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,15mM,05.12.25,D4,30
482,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,15mM,05.12.25,D5,70
483,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,15mM,05.12.25,D6,70
484,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,15mM,05.12.25,D7,60
485,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,15mM,05.12.25,D8,50
486,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,15mM,05.12.25,D9,40
487,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,30mM,05.12.25,D1,20
488,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,30mM,05.12.25,D2,90
489,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,30mM,05.12.25,D3,20
490,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,30mM,05.12.25,D4,30
491,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,30mM,05.12.25,D5,50
492,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,30mM,05.12.25,D6,40
493,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,30mM,05.12.25,D7,40
494,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,30mM,05.12.25,D8,20
495,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,30mM,05.12.25,D9,60
496,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,75mM,05.12.25,D1,20
497,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,75mM,05.12.25,D2,60
498,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,75mM,05.12.25,D3,30
499,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,75mM,05.12.25,D4,35
500,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,75mM,05.12.25,D5,35
501,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,75mM,05.12.25,D6,20
502,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,75mM,05.12.25,D7,50
503,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,75mM,05.12.25,D8,85
504,E.necator,Powdery mildew,E.necator (Powdery mildew),R2,75mM,05.12.25,D9,10
505,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,TNT,30.01.26,D1,100
506,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,TNT,30.01.26,D2,100
507,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,TNT,30.01.26,D3,100
508,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,TNT,30.01.26,D4,100
509,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,TNT,30.01.26,D5,80
510,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,TNT,30.01.26,D6,40
511,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,TNT,30.01.26,D7,60
512,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,TNT,30.01.26,D8,65
513,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,TNT,30.01.26,D9,65
514,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,1.9mM,30.01.26,D1,85
515,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,1.9mM,30.01.26,D2,100
516,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,1.9mM,30.01.26,D3,100
517,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,1.9mM,30.01.26,D4,85
518,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,1.9mM,30.01.26,D5,60
519,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,1.9mM,30.01.26,D6,100
520,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,1.9mM,30.01.26,D7,75
521,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,1.9mM,30.01.26,D8,100
522,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,1.9mM,30.01.26,D9,70
523,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,3.75mM,30.01.26,D1,30
524,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,3.75mM,30.01.26,D2,85
525,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,3.75mM,30.01.26,D3,70
526,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,3.75mM,30.01.26,D4,75
527,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,3.75mM,30.01.26,D5,70
528,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,3.75mM,30.01.26,D6,40
529,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,3.75mM,30.01.26,D7,85
530,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,3.75mM,30.01.26,D8,80
531,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,3.75mM,30.01.26,D9,80
532,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,7.5mM,30.01.26,D1,85
533,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,7.5mM,30.01.26,D2,80
534,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,7.5mM,30.01.26,D3,60
535,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,7.5mM,30.01.26,D4,45
536,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,7.5mM,30.01.26,D5,65
537,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,7.5mM,30.01.26,D6,75
538,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,7.5mM,30.01.26,D7,70
539,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,7.5mM,30.01.26,D8,80
540,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,7.5mM,30.01.26,D9,60
541,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,15mM,30.01.26,D1,80
542,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,15mM,30.01.26,D2,50
543,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,15mM,30.01.26,D3,65
544,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,15mM,30.01.26,D4,85
545,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,15mM,30.01.26,D5,65
546,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,15mM,30.01.26,D6,70
547,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,15mM,30.01.26,D7,40
548,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,15mM,30.01.26,D8,70
549,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,15mM,30.01.26,D9,50
550,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,30mM,30.01.26,D1,40
551,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,30mM,30.01.26,D2,45
552,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,30mM,30.01.26,D3,80
553,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,30mM,30.01.26,D4,80
554,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,30mM,30.01.26,D5,70
555,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,30mM,30.01.26,D6,100
556,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,30mM,30.01.26,D7,10
557,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,30mM,30.01.26,D8,10
558,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,30mM,30.01.26,D9,75
559,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,75mM,30.01.26,D1,70
560,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,75mM,30.01.26,D2,80
561,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,75mM,30.01.26,D3,75
562,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,75mM,30.01.26,D4,40
563,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,75mM,30.01.26,D5,60
564,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,75mM,30.01.26,D6,20
565,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,75mM,30.01.26,D7,20
566,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,75mM,30.01.26,D8,50
567,E.necator,Powdery mildew,E.necator (Powdery mildew),R3,75mM,30.01.26,D9,30
